Name,Shop Code,Address,Pincode,Latitude,Longitude,Taste,Menu,Price Range,Category,Subcategory
Koffee Stories Cafe | Ahmedabad,AMD-009-1," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0341151,72.5391879,Sweet,"Pasta, Pizza",Moderate,Cafe,Coffee Shop
Unlocked Cafe,AMD-009-2," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0341151,72.5391879,Sweet,"Pasta, Pizza",Moderate,Cafe,Coffee Shop
Zen Cafe,AMD-009-3," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Sweet,"Pasta, Pizza",Moderate,Cafe,Coffee Shop
Karma Cafe,AMD-009-4," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
The Messy Door Cafe - HL College Road,AMD-009-5," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
"Tent Rooftop Restro Cafe - Candle Light Dinner, Anniversary Celebration Navrangpura & Birthday Celebration Cafe Ahmedabad",AMD-009-6," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
Cafe nook,AMD-009-7," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
The Project Cafe,AMD-009-8," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
Mleko Specialty Coffee House and Bakery,AMD-009-9," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
Ristretto Behind The Rods,AMD-009-10," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
The Mad House,AMD-009-11," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
Java+,AMD-009-12," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
Coffee By Di Bella,AMD-009-13," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
Danny's Coffee bar,AMD-009-14," Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Pizza,Moderate,Cafe,Coffee Shop
Turquoise Villa Bistro & Café,AMD-015-15," Ground Floor, Shanay l, IIM Atira Road, near AMA, Ambawadi, Ahmedabad, Gujarat 380015",380015,23.0362682,72.5136555,Standard,Pasta,Moderate,Cafe,Coffee Shop
COFFEE ByUs,AMD-015-16," Ground Floor, Shanay l, IIM Atira Road, near AMA, Ambawadi, Ahmedabad, Gujarat 380015",380015,23.0362682,72.5136555,Standard,Pasta,Moderate,Cafe,Coffee Shop
