Cafe Name,Shop Code,Address,Pincode,Latitude,Longitude,Menu Item,Price,Category,Subcategory,Taste
The Messy Door Cafe - Bodakdev,AMD-015-1," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Sip Of Hope - The Coffee House,₹400–600,Beverages,Coffee,Bold/Bitter
The Messy Door Cafe - Bodakdev,AMD-015-2," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Roastery Cultúr - The Coffee Company,₹400–600,Beverages,Coffee,Bold/Bitter
The Messy Door Cafe - Bodakdev,AMD-015-3," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,"Cafe Baba Budan, Bodakdev Ahmedabad | Where Every Sip Tells a Story",₹200–400,Food,Cafe Snack,Standard
The Messy Door Cafe - Bodakdev,AMD-015-4," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,The Messy Door Cafe - Bodakdev,₹200–400,Food,Cafe Snack,Standard
The Messy Door Cafe - Bodakdev,AMD-015-5," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Grace Coffee Co. Bodakdev,₹200–400,Beverages,Coffee,Bold/Bitter
The Messy Door Cafe - Bodakdev,AMD-015-6," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Aarambh Cafe,₹200–400,Food,Cafe Snack,Standard
The Messy Door Cafe - Bodakdev,AMD-015-7," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Coffee By Di Bella Arista,₹₹₹,Beverages,Coffee,Bold/Bitter
The Messy Door Cafe - Bodakdev,AMD-015-8," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,A GOURMESSERIE - SINDHU BHAVAN,₹200–400,Food,Cafe Snack,Standard
The Messy Door Cafe - Bodakdev,AMD-015-9," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,The Chocolate Room Judges Bunglow,₹400–600,Food,Cafe Snack,Standard
The Messy Door Cafe - Bodakdev,AMD-015-10," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Core The Coffee Shop,₹200–400,Beverages,Coffee,Bold/Bitter
The Messy Door Cafe - Bodakdev,AMD-015-11," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Cafe De Italiano,₹400–600,Food,Cafe Snack,Standard
The Messy Door Cafe - Bodakdev,AMD-015-12," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Don Ka Adda Cafe / Rajpath,₹₹₹,Food,Cafe Snack,Standard
The Messy Door Cafe - Bodakdev,AMD-015-13," Pahelgam Bunglows, 14, Judges Bunglow Rd, opposite Akash Tower, Bodakdev, Ahmedabad, Gujarat 380015",380015,23.0352936,72.5014516,Mocha Bodakdev,₹200–400,Food,Cafe Snack,Standard
Grace Coffee Co. Bodakdev,AMD-054-14," 31 Springfield, Row House, Sandesh Press Rd, Bodakdev, Ahmedabad, Gujarat 380054",380054,23.0352936,72.5014516,Sip Of Hope - The Coffee House,₹400–600,Beverages,Coffee,Bold/Bitter
