Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Z27 Coffee Bar - Ahmedabad,AMD-059-1,23.0452605,72.4490505,", coffee bar, Z27, Sindhu Bhavan Marg, beside FrizBee food court, near taj skyline, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059",380059
A GOURMESSERIE - SINDHU BHAVAN,AMD-059-2,23.0452605,72.4490505,", coffee bar, Z27, Sindhu Bhavan Marg, beside FrizBee food court, near taj skyline, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059",380059
Grace Coffee Co. SBR Outlet,AMD-001-3,23.0452605,72.4490505,"Ahmedabad, Gujarat",380001
Coffee By Di Bella Arista,AMD-058-4,23.0452605,72.4490505,", Sindhu Bhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Ares cafe,AMD-058-5,23.0452605,72.4490505,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Tea Post - The Desi Cafe,AMD-058-6,23.0452605,72.4490505,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Camilo Coffee,AMD-058-7,23.0452605,72.4490505,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
"Nothing Before Coffee - Sindhu Bhavan , Ahmedabad",AMD-058-8,23.0408591,72.4735147,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Cafe De Italiano,AMD-058-9,23.0408591,72.4735147,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Theka Coffee,AMD-058-10,23.0431814,72.4472953,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
4 Coffee,AMD-058-11,23.0431814,72.4472953,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
The Café,AMD-058-12,23.0397886,72.4717008,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Danny's The Cafe,AMD-058-13,23.0397886,72.4717008,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Tero Restro&Cafe,AMD-058-14,23.0411042,72.4516034,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Âme Cafe & Patisserie,AMD-058-15,23.0411042,72.4516034,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
Granville Greens Café & Restaurant - Best Cafe & Restaurant in Sindhubhavan | Best Cafe & Restaurant in Ahmedabad,AMD-058-16,23.0411042,72.4516034,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058
TRITON,AMD-059-17,23.0411042,72.4516034,", BILLIONAIRE STREET, Sindhubhavan Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",380059
Unlocked Cafe,AMD-059-18,23.0411042,72.4516034,", BILLIONAIRE STREET, Sindhubhavan Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",380059
The House of Makeba – Veg Restaurant in SBR Ahmedabad,AMD-059-19,23.0411042,72.4516034,", BILLIONAIRE STREET, Sindhubhavan Rd, PRL Colony, Bodakdev, Ahmedabad, Gujarat 380059",380059
