Cafe Name,Shop Code,Address,Pincode,Latitude,Longitude,Menu Item,Price,Category,Subcategory,Taste
Z27 Coffee Bar - Ahmedabad,AMD-000-1,,380000,23.0452605,72.4490505,Special Coffee,₹180,Beverages,Coffee,Bold/Bitter
Z27 Coffee Bar - Ahmedabad,AMD-000-2,,380000,23.0452605,72.4490505,Cafe Sandwich,₹220,Food,Continental,Savory/Spicy
A GOURMESSERIE - SINDHU BHAVAN,AMD-059-3,", Shop No. 4, Zion Z1, off Sindhu Bhavan Marg, nr. Maple County Road, Thaltej, Ahmedabad, Gujarat 380059",380059,23.0456185,72.4718362,Special Coffee,₹180,Beverages,Coffee,Bold/Bitter
A GOURMESSERIE - SINDHU BHAVAN,AMD-059-4,", Shop No. 4, Zion Z1, off Sindhu Bhavan Marg, nr. Maple County Road, Thaltej, Ahmedabad, Gujarat 380059",380059,23.0456185,72.4718362,Cafe Sandwich,₹220,Food,Continental,Savory/Spicy
Coffee By Di Bella Arista,AMD-059-5,", GF/4, Arista Business Hub, Sindhu Bhavan Marg, Bodakdev, Ahmedabad, Gujarat 380059",380059,23.0405444,72.4716325,Special Coffee,₹180,Beverages,Coffee,Bold/Bitter
Coffee By Di Bella Arista,AMD-059-6,", GF/4, Arista Business Hub, Sindhu Bhavan Marg, Bodakdev, Ahmedabad, Gujarat 380059",380059,23.0405444,72.4716325,Cafe Sandwich,₹220,Food,Continental,Savory/Spicy
Ares cafe,AMD-058-7,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058,23.0428236,72.4473138,Special Coffee,₹180,Beverages,Coffee,Bold/Bitter
Ares cafe,AMD-058-8,", Sindhubhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",380058,23.0428236,72.4473138,Cafe Sandwich,₹220,Food,Continental,Savory/Spicy
Tea Post - The Desi Cafe,AMD-059-9,", Nr. Taj Lane Hotel, Sankalp Square Lane Nr. S. P. Ring Road, Sindhu Bhavan Marg, Road, Ahmedabad, Gujarat 380059",380059,23.0428236,72.4473138,Special Coffee,₹180,Beverages,Coffee,Bold/Bitter
Tea Post - The Desi Cafe,AMD-059-10,", Nr. Taj Lane Hotel, Sankalp Square Lane Nr. S. P. Ring Road, Sindhu Bhavan Marg, Road, Ahmedabad, Gujarat 380059",380059,23.0428236,72.4473138,Cafe Sandwich,₹220,Food,Continental,Savory/Spicy
