Name,Shop Code,Address,Pincode,Latitude,Longitude,Taste,Category,Subcategory
Koffee Stories Cafe | Ahmedabad,AMD-000-1,N/A,380000,23.0458647,72.5349254,Standard,General,Cafe Items
Unlocked Cafe,AMD-009-2," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0458647,72.5349254,Sweet,Food,Continental/Snacks
"Tent Rooftop Restro Cafe - Candle Light Dinner, Anniversary Celebration Navrangpura & Birthday Celebration Cafe Ahmedabad",AMD-009-3," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0458647,72.5349254,Sweet,Food,Continental/Snacks
Crazy Plant Lady Café - Plant Store | Bakery | Events & Co-working Space,AMD-009-4," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0458647,72.5349254,Sweet,Food,Continental/Snacks
Ristretto Behind The Rods,AMD-009-5," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0458647,72.5349254,Sweet,Food,Continental/Snacks
Zen Cafe,AMD-009-6," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0458647,72.5349254,Sweet,Food,Continental/Snacks
Karma Cafe,AMD-009-7," Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0458647,72.5349254,Sweet,Food,Continental/Snacks
The Messy Door Cafe - HL College Road,AMD-009-8," University Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,General,Cafe Items
Turquoise Villa Bistro & Café,AMD-009-9," University Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,General,Cafe Items
Cafe nook,AMD-009-10," University Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,General,Cafe Items
Mleko Specialty Coffee House and Bakery,AMD-009-11," Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Beverages,Coffee
COFFEE STAND ®-CG Road,AMD-009-12," Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009,23.0362682,72.5136555,Standard,Beverages,Coffee
Roastery Cultúr - The Coffee Company,AMD-054-13," 41 Spring Field Row House, Judges Bunglow Rd, near Amul Auda Garden, Bodakdev, Ahmedabad, Gujarat 380054",380054,23.0349539,72.4854748,Standard,General,Cafe Items
The Project Cafe,AMD-054-14," 41 Spring Field Row House, Judges Bunglow Rd, near Amul Auda Garden, Bodakdev, Ahmedabad, Gujarat 380054",380054,23.0349539,72.4854748,Standard,General,Cafe Items
Roastea - Curated Coffee And Tea Artisans,AMD-054-15," 41 Spring Field Row House, Judges Bunglow Rd, near Amul Auda Garden, Bodakdev, Ahmedabad, Gujarat 380054",380054,23.0248708,72.5120814,Standard,General,Cafe Items
Brewgarten,AMD-054-16," 41 Spring Field Row House, Judges Bunglow Rd, near Amul Auda Garden, Bodakdev, Ahmedabad, Gujarat 380054",380054,23.0248708,72.5120814,Standard,General,Cafe Items
Java+,AMD-054-17," 41 Spring Field Row House, Judges Bunglow Rd, near Amul Auda Garden, Bodakdev, Ahmedabad, Gujarat 380054",380054,23.0248708,72.5120814,Standard,General,Cafe Items
Little French House,AMD-054-18," 41 Spring Field Row House, Judges Bunglow Rd, near Amul Auda Garden, Bodakdev, Ahmedabad, Gujarat 380054",380054,23.0277452,72.4764454,Standard,General,Cafe Items
Cafe De Italiano,AMD-015-19," Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015,23.0277452,72.4764454,Standard,General,Cafe Items
COFFEE ByUs,AMD-015-20," G-05, Madhav complex, IIM Rd, opp. Kia motors showroom, University Area, Ahmedabad, Gujarat 380015",380015,23.0286508,72.506874,Sweet,Food,Continental/Snacks
Kaffa Coffee Roasters,AMD-015-21," G-05, Madhav complex, IIM Rd, opp. Kia motors showroom, University Area, Ahmedabad, Gujarat 380015",380015,23.0286508,72.506874,Sweet,Food,Continental/Snacks
Prithvi art celebration,AMD-015-22," G-05, Madhav complex, IIM Rd, opp. Kia motors showroom, University Area, Ahmedabad, Gujarat 380015",380015,23.0286508,72.506874,Sweet,Food,Continental/Snacks
Mocha Cg Road,AMD-015-23," SHRI SAHAJANAND ARTS & COMMERCE COLLEGE, Plot - b, Chandragupta society,b/h, Late Shri Ramanbhai Patel Marg, Ambawadi, Ahmedabad, Gujarat 380015",380015,23.0286508,72.506874,Standard,General,Cafe Items
Cafe Native Stories,AMD-015-24," SHRI SAHAJANAND ARTS & COMMERCE COLLEGE, Plot - b, Chandragupta society,b/h, Late Shri Ramanbhai Patel Marg, Ambawadi, Ahmedabad, Gujarat 380015",380015,23.0286508,72.506874,Standard,General,Cafe Items
Big Scoop Cafe ( House of Boba and Coffee ),AMD-015-25," SHRI SAHAJANAND ARTS & COMMERCE COLLEGE, Plot - b, Chandragupta society,b/h, Late Shri Ramanbhai Patel Marg, Ambawadi, Ahmedabad, Gujarat 380015",380015,23.0453131,72.4826437,Standard,General,Cafe Items
