Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images,Website,Coffee_Menu_Items
Pavement Coffeehouse - Allston,BOS-AL-101,42.3502999,-71.1678518,"1243 Commonwealth Ave, Allston, MA 02134, United States",2134,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtDYYjRYZqHNlIlT2dcSDL5aQ0vqs0ghHsZ2Cx4B81QGdX6j7G1j-cAZGqrcsijAEH7IidneECJt-rkKWEYPUn5ALSB1J-YABntKjfaK4dbvmqbPkm7JKbSgmWGPn10yBKSfw7XA=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-59o2BXyXE-b4ujy_Do8HKg8s712Pa7jM0MmyDvf6F82COt0xqNI7iLVVZ-GE97RQUjncfr7BkQMR_fzRWCTLLGd7cStJ2Tb3z7eE21FxkEpWTbFHkSXA6pUmABFF2OxzFfjzOQ=w114-h86-k-no,http://pavementcoffeehouse.com/,Menu detected but no text items found (Maybe Image/PDF)
Cafe Weekend,BOS-AL-102,42.3502999,-71.1678518,"120 Harvard Ave, Boston, MA 02134, United States",2134,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtDYYjRYZqHNlIlT2dcSDL5aQ0vqs0ghHsZ2Cx4B81QGdX6j7G1j-cAZGqrcsijAEH7IidneECJt-rkKWEYPUn5ALSB1J-YABntKjfaK4dbvmqbPkm7JKbSgmWGPn10yBKSfw7XA=w152-h86-k-no,https://cafeweekend120.wixsite.com/cafeweekend,Menu detected but no text items found (Maybe Image/PDF)
Kohi Coffee Company,BOS-AL-103,42.3502999,-71.1678518,"92 Guest St, Boston, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://www.kohicoffee.com/,Menu detected but no text items found (Maybe Image/PDF)
Glasser Coffee Co.,BOS-AL-104,42.3505283,-71.2016797,"589 Washington St, Brighton, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-59o2BXyXE-b4ujy_Do8HKg8s712Pa7jM0MmyDvf6F82COt0xqNI7iLVVZ-GE97RQUjncfr7BkQMR_fzRWCTLLGd7cStJ2Tb3z7eE21FxkEpWTbFHkSXA6pUmABFF2OxzFfjzOQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://www.glassercoffee.co/,Menu detected but no text items found (Maybe Image/PDF)
Cafenation Cafe & Roastery,BOS-AL-105,42.3505283,-71.2016797,"380 Washington St, Brighton, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-59o2BXyXE-b4ujy_Do8HKg8s712Pa7jM0MmyDvf6F82COt0xqNI7iLVVZ-GE97RQUjncfr7BkQMR_fzRWCTLLGd7cStJ2Tb3z7eE21FxkEpWTbFHkSXA6pUmABFF2OxzFfjzOQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://www.cafenation.com/,Menu detected but no text items found (Maybe Image/PDF)
In House Cafe,BOS-AL-106,42.3505283,-71.2016797,"132 Chestnut Hill Ave, Brighton, MA 02135, United States",2135,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://inhousecafe.com/,Menu detected but no text items found (Maybe Image/PDF)
Tatte Bakery & Cafe | Harvard Square,BOS-AL-107,42.3726069,-71.1530145,"1288 Massachusetts Ave, Cambridge, MA 02138, United States",2138,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://tattebakery.com/,"Iced Black Sesame Latte - 16 oz, Black Sesame Latte - 12 oz"
Oba Bakery & Cafe,BOS-AL-108,42.3520807,-71.1619237,"16 Brighton Ave, Boston, MA 02134, United States",2134,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8r40pfNdn3eK5trc4oBYhQuyISsZ3SPTku6i2Y8glWqUOHvBZjBUNrEk3DeLnSX7b_5qeTsyxZVPUBHzuhAYGRh53jfoqecRDr9JpEAVCtSB-C1F4m6i4N4G7ZjM1JAEUWdGFyg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,http://www.obabakerycafe.com/,Menu detected but no text items found (Maybe Image/PDF)
Tatte Bakery & Cafe | Coolidge Corner,BOS-AL-109,42.3520807,-71.1619237,"420 Harvard St, Brookline, MA 02446, United States",2446,https://lh3.googleusercontent.com/gps-cs-s/AHVAweowKziY_D9SVrLVj8Gw8TcS_Q6EmyHq2Em997EWLEHFFe9A7J2834_R4PgAMM_ORb7sPGaV4Ngpy8bQ9H1CTQeDdAtwZE1aohN0JM0Oi1ooqTYKrK3Rj3P28gdiEzg7cILsc0pam0UAM6PR=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8r40pfNdn3eK5trc4oBYhQuyISsZ3SPTku6i2Y8glWqUOHvBZjBUNrEk3DeLnSX7b_5qeTsyxZVPUBHzuhAYGRh53jfoqecRDr9JpEAVCtSB-C1F4m6i4N4G7ZjM1JAEUWdGFyg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://tattebakery.com/,"Iced Black Sesame Latte - 16 oz, Black Sesame Latte - 12 oz"
Clear Flour Coffee Bar,BOS-AL-110,42.3520807,-71.1619237,"180 Thorndike St, Brookline, MA 02446, United States",2446,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo6LSY8SpeTV33VYfB3qPPeAK2QNqYA9wyunx4qITIn3VMOIHDV_qXdR3uahafJeIxun5sSVZ2kHCIAB2jUL3zJi4sagsnpQ1K0_jjNltMuwHET7LtBYMKWXkNHgBle_GlkuyPFxg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweowKziY_D9SVrLVj8Gw8TcS_Q6EmyHq2Em997EWLEHFFe9A7J2834_R4PgAMM_ORb7sPGaV4Ngpy8bQ9H1CTQeDdAtwZE1aohN0JM0Oi1ooqTYKrK3Rj3P28gdiEzg7cILsc0pam0UAM6PR=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepQIt8yLPKUmMSPJG8dWY5VsuDw2xSz3ELMH5sBuGmCf97x7S6iobjYhBX3UH44nIhccjW6OXimDFG5VETeKTO4PjarPHlyFD0UXdP0XekKZ6xephujkFaer1R3U-27PqJpxKduBA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerqOTJDigTy-BtLv1IV_QfJ8rp9E245Q7ahlW1EE9-Xu4TZj1EE0v4jovJHm9jgm6WFttILjwTqPn8P-At6ohcvCtaC1fsthsFis4XRctkWYgpbW3xacDtinXiZiLmO1zavZErS=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPNcJ6fV_YPuZR7iVNKxrsZaW9YPYqCHaMrDk8cLp3RWF3rjD4Blb77B8B0VQ1LvqLbV-_AzioQc_clP0fCOTBJGXGoedQhsx7-nEHuqLiNfn0rsuSF6fYCqoXhnUAPHKxfQleIg=w86-h114-k-no,https://clearflourbread.com/,Menu detected but no text items found (Maybe Image/PDF)
