Cafe Name,Menu Item
Pavement Coffeehouse - Allston,Spring has sprung!
Pavement Coffeehouse - Allston,GROW WITH US
Pavement Coffeehouse - Allston,We Cater!
Cafe Weekend,Cafeweekend120@gmail.com
Cafe Weekend,Mon - Fri
Cafe Weekend,Saturday
Cafe Weekend,Sunday
Cafe Weekend,Find Out More
Cafe Weekend,"Allston, MA 02134"
Kohi Coffee Company,Provincetown
Kohi Coffee Company,Boston Landing
Kohi Coffee Company,South End
Kohi Coffee Company,Press
Kohi Coffee Company,"Established 2014 in Provincetown, MA"
Kohi Coffee Company,Open daily 7am - 5pm
Kohi Coffee Company,Open daily 7:30am - 5:00pm
Kohi Coffee Company,info@kohicoffee.com
Glasser Coffee Co.,THE COFFEE
Glasser Coffee Co.,OUR STORE
Cafenation Cafe & Roastery,More
Cafenation Cafe & Roastery,BUY COFFEE BEANS
In House Cafe,FREESTYLE OF EGG
In House Cafe,OMELETTE
In House Cafe,GOURMET SAVORY CREPE
In House Cafe,SWEET CREPE
In House Cafe,FRENCH TOAST
In House Cafe,WAFFLES
In House Cafe,PANCAKES
In House Cafe,SIDES
In House Cafe,In - House Sirloin & Eggs
In House Cafe,Sweet Royal
In House Cafe,The Hungry Traveller
In House Cafe,Greek Style
In House Cafe,The Irish Way
In House Cafe,Green Eggs All The Way (Aleppo Style)
In House Cafe,Biscuits & Hollandaise Combo
In House Cafe,Shakshuka
In House Cafe,In - House Traditional Omelette
In House Cafe,Chicken Fajita Omelette
In House Cafe,Western Omelette
In House Cafe,Meat Lovers Delight Omelette
In House Cafe,Soprano Omelette
In House Cafe,Simply Cheese Omelette
In House Cafe,Mexican Omelette
In House Cafe,Smoked Salmon Omelette
In House Cafe,Mediterranean Omelette
In House Cafe,Broccoli Omelette
In House Cafe,Mushroom Omelette
In House Cafe,Florentine Omelette
In House Cafe,Veggie Omelette
In House Cafe,White House Omelette
In House Cafe,Veggie Breakfast Burrito Omelette
In House Cafe,The Country Crepe
In House Cafe,Steak & Cheese Crepe
In House Cafe,Smoked Salmon Crepe
In House Cafe,Mediterranean Crepe
In House Cafe,Mushroom Crepe
In House Cafe,Avocado Crepe
In House Cafe,La Maroc Crepe
In House Cafe,La Vionnoise
In House Cafe,La Classique Crepe
In House Cafe,Dulce de Leche
In House Cafe,Barkeley La Symphony Crepe
In House Cafe,Cheesy French Toast
In House Cafe,In House French Toast
In House Cafe,Traditional French Toast
In House Cafe,Banana Caramel & Pecan French Toast
In House Cafe,In House Waffle
In House Cafe,Banana Caramel & Pecan Waffle
In House Cafe,Belgium Style Waffle
In House Cafe,Crispy Honey Chicken Waffle
In House Cafe,Three Stooges
In House Cafe,Two Good To Be True
In House Cafe,Chocolate Chip Pancakes
In House Cafe,Apple Cinnamon Pancakes
In House Cafe,Side of Egg
In House Cafe,Side of Grilled Chicken
In House Cafe,Side of Toast
In House Cafe,Side of Grilled Beef or Lamb
In House Cafe,Side of Syrian Bread
In House Cafe,Side of Hummus
In House Cafe,Side of Avocado
In House Cafe,Side of Seasonal Fruit Cup
In House Cafe,Side of Coleslaw
In House Cafe,Side of Rice White
In House Cafe,Side of Hot Sauce
In House Cafe,Side of Grilled Mushrooms
In House Cafe,Side of Pickles
In House Cafe,Side of Corned Beef Hash
In House Cafe,Cheese Fatayer/Manaish
In House Cafe,Za'atar Fatayer/Manaish
In House Cafe,Ka'ak
In House Cafe,DRINKS
In House Cafe,SPECIALS
In House Cafe,EVENTS
In House Cafe,RESERVE
In House Cafe,PARTIES
In House Cafe,"With American, cheddar, and mozzarella cheese."
In House Cafe,"Fresh-steamed spinach, tomato, and Hollandaise sauce."
In House Cafe,Egg white omlette with sautéed mushrooms and onion.
In House Cafe,"Topped with fresh strawberry, kiwi and honey | Add Ice Cream +$2.99"
In House Cafe,Side of Egg $3.99 2 Eggs any style
In House Cafe,2 Eggs any style
In House Cafe,Side of Grilled Chicken $6.99
In House Cafe,"Side of Toast $1.99 White, Wheat, Multigrain, Sourdough"
In House Cafe,"White, Wheat, Multigrain, Sourdough"
In House Cafe,Side of Grilled Beef or Lamb $9.99
In House Cafe,Side of Syrian Bread $2.99 House Made
In House Cafe,House Made
In House Cafe,Side of Hummus $6.99 8oz House Made
In House Cafe,Side of Avocado $2.99
In House Cafe,Side of Seasonal Fruit Cup $5.99 12oz
In House Cafe,Side of Coleslaw $4.99
In House Cafe,Side of Rice White $4.99
In House Cafe,Side of Hot Sauce $1.00
In House Cafe,Side of Grilled Mushrooms $6.99
In House Cafe,Side of Pickles $1.00
In House Cafe,Side of Corned Beef Hash $7.99
In House Cafe,Cheese Fatayer/Manaish $17.99
In House Cafe,Za'atar Fatayer/Manaish $17.99
In House Cafe,Ka'ak $1.00
In House Cafe,"For beef bacon or beef sausage, extra +$1.00"
In House Cafe,Add Beef Bacon or Beef Sausage +$1.00.
Tatte Bakery & Cafe | Harvard Square,Flavors of the Season
Tatte Bakery & Cafe | Harvard Square,Coffee at Tatte
Tatte Bakery & Cafe | Harvard Square,Our Cafés
Tatte Bakery & Cafe | Harvard Square,© 2026 Tatte Bakery & Café. All rights reserved. | v1.0.61
Oba Bakery & Cafe,Baklava
Oba Bakery & Cafe,Combos
Oba Bakery & Cafe,Bagel
Oba Bakery & Cafe,Sandwich
Oba Bakery & Cafe,Dessert
Oba Bakery & Cafe,United States (English)
Oba Bakery & Cafe,OBA BAKERY
Oba Bakery & Cafe,Open
Tatte Bakery & Cafe | Coolidge Corner,Flavors of the Season
Tatte Bakery & Cafe | Coolidge Corner,Coffee at Tatte
Tatte Bakery & Cafe | Coolidge Corner,Our Cafés
Tatte Bakery & Cafe | Coolidge Corner,© 2026 Tatte Bakery & Café. All rights reserved. | v1.0.61
Clear Flour Coffee Bar,OUR PRODUCTS
Clear Flour Coffee Bar,MORE
Clear Flour Coffee Bar,QUESTIONS?
Clear Flour Coffee Bar,coffee bar
Clear Flour Coffee Bar,OUR PRODUCTS breads pastries   specials   pizza dough instructions
Clear Flour Coffee Bar,breads pastries   specials   pizza dough instructions
Clear Flour Coffee Bar,Monday–Sunday: 8am–3pm
Clear Flour Coffee Bar,pizza dough instructions
Clear Flour Coffee Bar,pizza night
Clear Flour Coffee Bar,"Brookline, MA 02446"
Clear Flour Coffee Bar,"Monday, 4/6: 8am–5pm"
Clear Flour Coffee Bar,Monday–Friday: 8am–6pm
Clear Flour Coffee Bar,Saturday–Sunday: 9am–6pm
Clear Flour Coffee Bar,SIGN UP FOR OUR NEWSLETTER
Clear Flour Coffee Bar,Monday–
Clear Flour Coffee Bar,Friday: 8am–6pm
NY Bagel and Coffee Co,Coffee roasting at the cafe
NY Bagel and Coffee Co,Get in touch
NY Bagel and Coffee Co,Online Delivery
NY Bagel and Coffee Co,We are located at
NY Bagel and Coffee Co,Allston
NY Bagel and Coffee Co,Call us: +1 617 870 7937 Email: info@nybagelandcoffeeco.com
NY Bagel and Coffee Co,DID YOU TRY?
NY Bagel and Coffee Co,NOTIFICATION FOR CONSUMERS
NY Bagel and Coffee Co,Get a Quote
NY Bagel and Coffee Co,info@nybagelandcoffeeco.com
NY Bagel and Coffee Co,BACK TO TOP
Andala Coffee House,soup & salad
Andala Coffee House,sandwiches
Andala Coffee House,andalacoffee@gmail.com
Andala Coffee House,Monday - Friday 9am - 11pm
Andala Coffee House,Saturday - Sunday 8am- 11pm
Andala Coffee House,Kitchen closes at 9pm.
Andala Coffee House,©2021 by Andala Coffee House.
Andala Coffee House,Foole Plate | 13.99
Andala Coffee House,Goat Cheese & Honey Plate | 16.99
Andala Coffee House,Zeit U Zaatar & Labneh | 14.99
Andala Coffee House,Spinach Pie Plate | 12.99
Andala Coffee House,Two spinach pies served with a green salad. (V).
Andala Coffee House,Combo Plate | 15.99
Andala Coffee House,"Tabouli salad, green salad, grape leaf, and hummus. (VG)."
Andala Coffee House,Jerusalem Hummus Plate (Msabaha) | 14.99
Andala Coffee House,Hummus Ajami with Beef | 16.99
Andala Coffee House,Hummus Ajami with Chicken | 16.99
Andala Coffee House,Merguez Hummus | 17.99
Andala Coffee House,Hummus Plate | 12.99
Andala Coffee House,Jerusalem Salad | 12.99
Andala Coffee House,Andala House Salad | 13.99
Andala Coffee House,Eggplant Mtabal Salad | 13.99
Andala Coffee House,Lentil Soup | 8.50
Andala Coffee House,Fattoush Salad | 13.99
Andala Coffee House,Tabouli Salad | 13.99
Andala Coffee House,Chicken Musakhan Sandwich | 14.99
Andala Coffee House,Chicken Khalili Sandwich | 14.99
Andala Coffee House,Merguez Sandwich | 16.99
Andala Coffee House,Chicken Shawarma Sandwich | 12.99
Andala Coffee House,Avocado Press Sandwich | 13.99
Andala Coffee House,Jerusalem Egg Sandwich | 12.99
Andala Coffee House,Falafel Sandwich | 15.99
Andala Coffee House,Kufta Besiniah | 21.99
Andala Coffee House,Chicken Kabab | 20.99
Andala Coffee House,Thyme Garlic Chicken | 19.99
Andala Coffee House,Shrimp Ma’ali | 21.99
Andala Coffee House,Chicken Shawarma Plate | 20.99
Andala Coffee House,Falafel Plate | 15.99
Andala Coffee House,Shakshokeh | 18.99
Andala Coffee House,Mujadara | 18.99
Andala Coffee House,Couscous With Lam | 24.95
Andala Coffee House,"Rich, aromatic, and very delicious."
Andala Coffee House,Coq Au Vin| 19.99
Andala Coffee House,City of Jerusalem
Andala Coffee House,Cambridge
Andala Coffee House,"Tabouli salad, green salad, grape leaf, and hummus. (VG"
Andala Coffee House,Avocado Press Sandwich |
Andala Coffee House,Baked chicken and vege
Andala Coffee House,"tables. Served with rice and Jineen salad (cucumber, fresh pars"
Andala Coffee House,Mujadara
Andala Coffee House,Couscous With Lam
Andala Coffee House,Coq Au Vin
Dash Cafe,Breakfast
Dash Cafe,Specialty Breakfast Sandwiches
Dash Cafe,Breakfast Torta
Dash Cafe,Breakfast Tacos
Dash Cafe,Breakfast Cubano
Dash Cafe,Breakfast Burrito
Dash Cafe,Egg Sandwich
Dash Cafe,Lox of Love
