Name,Shop Code,Latitude,Longitude,Full Address,Pincode
GAG Coffee Co - IIM Road,AMD-AMB-101,23.0277322,72.5360389,", Panjrapole, Ground Floor, Block No. F, Shop No. 4, Shivalik Sharda Harmony, Polytechnic Cross Road, IIM Rd, Ambawadi, Ahmedabad, Gujarat 380015",380015
Tea Post Ambawadi (Tresa Enterprise),AMD-AMB-119,23.0306247,72.5482454,"Ambawadi, Ahmedabad",380006
Mr Sandwich Ambawadi,AMD-AMB-120,23.0248755,72.5408718,", 2GFX+3X5 HR EXTER 2, 3, H Colony, Ambawadi, Ahmedabad, Gujarat 380015",380015
Zen Cafe,AMD-AMB-125,23.0362682,72.53168,", University Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
The Noodle Nook,AMD-AMB-127,23.0199483,72.5360093,", GF 23, RUDRA COMPLEX, Ambawadi Bazar, Ambawadi, Ahmedabad, Gujarat 380006",380006
"Ajay's Café - Anand Nagar, Ahmedabad",AMD-AMB-128,23.0134829,72.5084667,", Shop No. 04, Twinkle Complex, Shyamal Cross Rd, nr. Dhananjay Tower, Satellite, Ahmedabad, Gujarat 380015",380015
D Big Man,AMD-AMB-129,23.0250088,72.5260014,", L 30/2, cross road, near SHRI SAHAJANAND ARTS & COMMERCE COLLEGE, L Colony, Ambawadi, Ahmedabad, Gujarat 380015",380015
Chai Wai - Shivranjani,AMD-AMB-132,23.0239023,72.514453,", Umiya Vijay Shopping Complex, 2, Surendra Mangaldas Rd, Shivranjani, Ambawadi, Ahmedabad, Gujarat 380015",380015
Birmies,AMD-AMB-135,23.0271266,72.5263285,", Ground Floor, Antriksh Complex, Panjarapole Cross Rd, Panjara Pol, Ambawadi, Ahmedabad, Gujarat 380015",380015
Spice hub restro cafe shyamal,AMD-AMB-139,23.0151872,72.5129865,", 2nd floor, Iconic Shyamal Shyamal Cross Roads, 132 Feet Ring Rd, Swinagar Society, Nehru Nagar, Shyamal, Ahmedabad, Gujarat 380015",380015
Filmistaan cafe the food hub,AMD-AMB-141,23.0266089,72.5394613,", SHOP NUMBER 10, MARDIA POLAZA, GATE 6, Chimanlal Girdharlal Rd, near GLS COLLAGE, SIDE OF JAY BHAWANI, Ellisbridge, Ahmedabad, Gujarat 380006",380006
Juna Sharebajar Mithai Ghar and Chavana Mart,AMD-AMB-144,23.0217801,72.5253576,", SHOP NO -5 & 6, Varun Palace, Nehru Nagar, CHARRASTA, Ambawadi, Ahmedabad, Gujarat 380015",380015
"Ajay's Café - GLS University, Ahmedabad",AMD-AMB-147,23.0265776,72.5403856,", GF, Shop No. 1A+14+15, sachet 2, 5, Chimanlal Girdharlal Rd, opp. GLS Gate, Ellisbridge, Ahmedabad, Gujarat 380006",380006
Bobby Tea Stall,AMD-AMB-150,23.0260972,72.5280882,", 6/A, Dr Vikram Sarabhai Marg, Panchavati Society, Gulbai Tekra, Ambawadi, Ahmedabad, Gujarat 380009",380009
Java+,AMD-AMB-152,23.0277452,72.4944699,", Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015
Das Khaman & Food Products,AMD-AMB-153,23.0212093,72.5255294,", 1, Shalibhadra Complex, opp. Derasar Road, nr. Nehru Nagar Circle, Patel Colony, Ambawadi, Ahmedabad, Gujarat 380015",380015
Gajanand Pauva House,AMD-AMB-156,23.0200028,72.5396847,", Dev Complex Chowk, 4, Chimanlal Girdharlal Rd, near Parmal Garden, Ambawadi, Ahmedabad, Gujarat 380006",380006
