Name,Shop Code,Latitude,Longitude,Full Address,Pincode,Cuisine,Opening Hours
Cyber Cafe,AMD-1001,23.0422876,72.5699576,Ahmedabad/GNR,N/A,Cafe,N/A
Chocolate Room,AMD-1002,23.0407234,72.5485324,Ahmedabad/GNR,N/A,Cafe,N/A
"Barrista, Vijay 4 Roads",AMD-1003,23.0427079,72.5494685,Ahmedabad/GNR,N/A,Cafe,N/A
Cafe Coffee Day,AMD-1004,23.0312796,72.5493907,Ahmedabad/GNR,N/A,Cafe,N/A
Chai Gate!!!,AMD-1005,23.0120603,72.5691606,Ahmedabad/GNR,N/A,indian,N/A
Ken's Koffee Plus Plus,GNR-1006,23.1964319,72.6328106,"1st Floor, Super Mall 2 148-A NH8C  Gandhinagar",382009,Gujarati,09:30-21:30
Zen Cafe,AMD-1007,23.0362229,72.5494261,Ahmedabad/GNR,N/A,coffee;snack,16:00-20:00
Cafe Coffee Day,AMD-1008,23.0329764,72.5600005,Ahmedabad/GNR,N/A,coffee_shop,Mo-Su 09:00-23:00
Ghandi Cold Drink House,AMD-1009,23.0246187,72.5828928,Ahmedabad/GNR,N/A,ice_cream,N/A
Relief Cyber Cafe,AMD-1010,23.0263181,72.5830356,Ahmedabad/GNR,N/A,Cafe,N/A
chocolate room,AMD-1011,23.0358422,72.5617312,Ahmedabad/GNR,N/A,Cafe,N/A
Cafe Coffee Day,AMD-1012,23.0245018,72.5073318,Ahmedabad/GNR,N/A,coffee_shop,N/A
Nescafe,AMD-1013,23.0371357,72.5443257,Ahmedabad/GNR,N/A,Cafe,N/A
Fullfills Ahmedabad,AMD-1014,23.042429,72.5486687,"G2 Yash Aqua Vijay Cross Road, Navarangpura  Ahmedabad",380009,pizza,N/A
quinches,AMD-1015,23.0416337,72.5490709,Ahmedabad/GNR,N/A,pizza,N/A
uno pizza,AMD-1016,23.042389,72.5492178,Ahmedabad/GNR,N/A,Cafe,N/A
The Cafe Baraco,AMD-1017,23.0444534,72.5505062,34 memnagar  ahmedabad,N/A,Multi_Cuisine,11:00-01:00
Seva Cafe,AMD-1018,23.0346667,72.5603703,Ahmedabad/GNR,N/A,Cafe,N/A
Unlocked,AMD-1019,23.033026,72.5577346,Ahmedabad/GNR,N/A,Cafe,N/A
Cafe udipi richi,AMD-1020,23.0320819,72.5600295,Chimanlal Girdharlal Road  Ahmedabad/GNR,N/A,Cafe,N/A
In-Garden Cafe,AMD-1021,23.0122064,72.5062163,Ahmedabad/GNR,N/A,Cafe,N/A
Udipi Cafe,AMD-1022,23.0144058,72.565418,Ahmedabad/GNR,N/A,Cafe,N/A
Khetlaapa Tea Shop,GNR-1023,23.1931868,72.6148754,Sargasan Crossroad  Gandhinagar,382421,coffee_shop;sandwich;teahouse,24/7
7 Colours Pan Parlor,GNR-1024,23.1950881,72.6146833,"Sarthak Mall, Kh-Road  Gandhinagar",382421,Cafe,N/A
cabana lounge,AMD-1025,23.0355672,72.5061396,"0 behind bogarosa, rajpath club, bodakdev.  ahmedabad",380054,pizza;italian;coffee_shop;indian,N/A
The Cafe Date,AMD-1026,23.034043,72.5018226,Ahmedabad/GNR,N/A,Cafe,N/A
Coffee Stand-CG Road,AMD-1027,23.0360509,72.5611735,1 Swastik Cross Road /Swastik Society Road / Swastik X Road  Ahmedabad,380009,pizza;coffee_shop;sandwich;italian;ice_cream;regional;mexican,24/7
Deshi Chulha Non-veg,AMD-1028,23.0158336,72.5508007,Ahmedabad/GNR,N/A,Cafe,N/A
Bean Box Cafe,AMD-1029,23.0451215,72.4854863,Ahmedabad/GNR,N/A,Cafe,N/A
Crush Culture Cafe Bar,AMD-1030,23.0875987,72.6839578,"106, Naroda business hub, NR. New D-Mart, Naroda-dehgam road Hanspura  Ahmedabad",382330,coffee_shop;pizza;burger;sandwich,Mo-Su 10:00-22:00
Dadu Cafe,AMD-1031,23.0496098,72.6705415,Ahmedabad,382350,pizza;regional;burger;coffee_shop;italian;chinese;sandwich;asian;indian,Mo-Su 11:00-23:00
Starbucks,AMD-1032,23.0319557,72.5107614,Ahmedabad/GNR,380054,coffee_shop,Mo-Su 7:00-24:00
mocha,AMD-1033,23.0318311,72.511298,Ground Floor 6-9   Ahmedabad/GNR,380054,Cafe,Mo-Su 11:00-23:00
Plumeria Cafe,AMD-1034,22.961352,72.4239095,Ahmedabad/GNR,N/A,Cafe,Mo-Su 10:00-22:00
Shiva's Cafe,GNR-1035,23.1923234,72.6165249,"Shop no.5 , Ground Floor Gandhinagar Bypass Road  Gandhinagar",382421,coffee_shop;pizza;burger;italian;sandwich,Mo-Su 08:00-24:00
Authentic cafe,AMD-1036,23.0319107,72.5883477,Ahmedabad/GNR,N/A,indian,N/A
