Name,Shop Code,Latitude,Longitude,Full Address,Pincode,Type,Cuisine
Cyber Cafe,AMD-CF-1001,23.0422876,72.5699576,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Chocolate Room,AMD-CF-1002,23.0407234,72.5485324,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
"Barrista, Vijay 4 Roads",AMD-CF-1003,23.0427079,72.5494685,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Cafe Coffee Day,AMD-CF-1004,23.0312796,72.5493907,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Chai Gate!!!,AMD-CF-1005,23.0120603,72.5691606,Ahmedabad/GNR,N/A,cafe,indian
Ken's Koffee Plus Plus,GNR-CF-1006,23.1964319,72.6328106,"1st Floor, Super Mall 2 148-A NH8C  Gandhinagar",382009,cafe,Gujarati
Zen Cafe,AMD-CF-1007,23.0362229,72.5494261,Ahmedabad/GNR,N/A,cafe,coffee;snack
Cafe Coffee Day,AMD-CF-1008,23.0329764,72.5600005,Ahmedabad/GNR,N/A,cafe,coffee_shop
Ghandi Cold Drink House,AMD-CF-1009,23.0246187,72.5828928,Ahmedabad/GNR,N/A,cafe,ice_cream
Relief Cyber Cafe,AMD-CF-1010,23.0263181,72.5830356,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
chocolate room,AMD-CF-1011,23.0358422,72.5617312,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Cafe Coffee Day,AMD-CF-1012,23.0245018,72.5073318,Ahmedabad/GNR,N/A,cafe,coffee_shop
Nescafe,AMD-CF-1013,23.0371357,72.5443257,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Tandoorworkz,AMD-CF-1014,23.0199957,72.5580704,Gf-7 Chimanlal Girdharlal Road  Ahmedabad/GNR,380006,restaurant,burger;sandwich;regional;ice_cream;grill;cake;coffee_shop;pasta;noodles;pancake;pizza;chicken;fish_and_chips;curry;indian;fish;breakfast;savory_pancakes;tea;seafood;sausage;local;barbecue
Fullfills Ahmedabad,AMD-CF-1015,23.042429,72.5486687,"G2 Yash Aqua Vijay Cross Road, Navarangpura  Ahmedabad",380009,cafe,pizza
quinches,AMD-CF-1016,23.0416337,72.5490709,Ahmedabad/GNR,N/A,cafe,pizza
uno pizza,AMD-CF-1017,23.042389,72.5492178,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
The Cafe Baraco,AMD-CF-1018,23.0444534,72.5505062,34 memnagar  ahmedabad,N/A,cafe,Multi_Cuisine
Seva Cafe,AMD-CF-1019,23.0346667,72.5603703,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Unlocked,AMD-CF-1020,23.033026,72.5577346,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Cafe udipi richi,AMD-CF-1021,23.0320819,72.5600295,Chimanlal Girdharlal Road  Ahmedabad/GNR,N/A,cafe,Coffee/Tea
In-Garden Cafe,AMD-CF-1022,23.0122064,72.5062163,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Udipi Cafe,AMD-CF-1023,23.0144058,72.565418,Ahmedabad/GNR,N/A,cafe,Coffee/Tea
Khetlaapa Tea Shop,GNR-CF-1024,23.1931868,72.6148754,Sargasan Crossroad  Gandhinagar,382421,cafe,coffee_shop;sandwich;teahouse
