Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
Thinking Cup,BOS-BB-101,42.3518965,-71.0839495,"85 Newbury St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyokPR_GaNyeEjfmDEiGgSdEbRMihh9c7_80wo-5X-JSFsd1XBKzZguL7GDLs29cH6Vqd5pQ2VGIQR_8eFCZh7exlh-3J4KplAdUEvMjO-Ie25c_V00onRw4Vo1pJBaOnqy43a=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxZ2sKD6ihRtHnmp4VSApyk9yzbx2lSuj-W1TtvxKbtaO0iFEFovHBSqRS6b5PFmxP5TZf-n9igZp1JHX79ReR2FILnV_QS5Jt5CIpRs12CSumFa0otoFBREG3wyyIQ7fcNVHp4w=w152-h86-k-no
Trident Booksellers & Cafe,BOS-BB-102,42.348244,-71.0956352,"338 Newbury St, Boston, MA 02115, United States",02115,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyokPR_GaNyeEjfmDEiGgSdEbRMihh9c7_80wo-5X-JSFsd1XBKzZguL7GDLs29cH6Vqd5pQ2VGIQR_8eFCZh7exlh-3J4KplAdUEvMjO-Ie25c_V00onRw4Vo1pJBaOnqy43a=w114-h86-k-no
Tatte Bakery & Cafe | Back Bay,BOS-BB-103,42.3517583,-71.080915,"399 Boylston St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
Back Bay - Jaho Coffee Roaster & Wine Bar,BOS-BB-104,42.346812,-71.0886638,"116 Huntington Ave, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyokPR_GaNyeEjfmDEiGgSdEbRMihh9c7_80wo-5X-JSFsd1XBKzZguL7GDLs29cH6Vqd5pQ2VGIQR_8eFCZh7exlh-3J4KplAdUEvMjO-Ie25c_V00onRw4Vo1pJBaOnqy43a=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
Pavement Coffeehouse - Newbury,BOS-BB-105,42.346812,-71.0886638,"286 Newbury St, Boston, MA 02115, United States",02115,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxZ2sKD6ihRtHnmp4VSApyk9yzbx2lSuj-W1TtvxKbtaO0iFEFovHBSqRS6b5PFmxP5TZf-n9igZp1JHX79ReR2FILnV_QS5Jt5CIpRs12CSumFa0otoFBREG3wyyIQ7fcNVHp4w=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyokPR_GaNyeEjfmDEiGgSdEbRMihh9c7_80wo-5X-JSFsd1XBKzZguL7GDLs29cH6Vqd5pQ2VGIQR_8eFCZh7exlh-3J4KplAdUEvMjO-Ie25c_V00onRw4Vo1pJBaOnqy43a=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
Blue Bottle Coffee,BOS-BB-106,42.346812,-71.0886638,"800 Boylston St #25, Boston, MA 02199, United States",02199,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerGjpMdZMEpAirfgi7rkkCdrbqwgTY-N2lChbwZ_t4CMPMADrZCLQoG3Ft1bpFYtIAg6ttC4kfOpgqWYA1ZK4EtCb0KeyzUOsMCKK4Pub2Vjyg8IXfunHAucEjBfsExlIfw4wdD=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoxZ2sKD6ihRtHnmp4VSApyk9yzbx2lSuj-W1TtvxKbtaO0iFEFovHBSqRS6b5PFmxP5TZf-n9igZp1JHX79ReR2FILnV_QS5Jt5CIpRs12CSumFa0otoFBREG3wyyIQ7fcNVHp4w=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
Berkeley Perk Cafe,BOS-BB-107,42.3468044,-71.0796117,"69 Berkeley St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq0eMo1ocGJ8MbPZymqx6Yt7ebf-O3sebf91QpOd-fRZL7hJOa_g5FobytddaoQP7U4LlKsJA5rxC6ZBMjiywLjh4EBCn4FDHS2wy-V0EcHzvLsXRMDw8kUQegejJdkvR1TCb1QCw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerGjpMdZMEpAirfgi7rkkCdrbqwgTY-N2lChbwZ_t4CMPMADrZCLQoG3Ft1bpFYtIAg6ttC4kfOpgqWYA1ZK4EtCb0KeyzUOsMCKK4Pub2Vjyg8IXfunHAucEjBfsExlIfw4wdD=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
Flour Bakery + Cafe,BOS-BB-108,42.3459935,-71.0935917,"30 Dalton St, Boston, MA 02115, United States",02115,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1N9rKlqwGYZIjprKNTQwW7cWj-rRilGCQyOYFnFSPpLE5nG6ggIuKSFRbZQ-q8YrBThfYABTSdSpXoKewUCKIzvDG3JJUUO1kTvX14VUeoSIiSPbW15vwhARA__ZCjyC3YmZa=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq0eMo1ocGJ8MbPZymqx6Yt7ebf-O3sebf91QpOd-fRZL7hJOa_g5FobytddaoQP7U4LlKsJA5rxC6ZBMjiywLjh4EBCn4FDHS2wy-V0EcHzvLsXRMDw8kUQegejJdkvR1TCb1QCw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
"Greystone Cafe, Bakery, and Provisions",BOS-BB-109,42.3452743,-71.0836972,"123 Appleton St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAweopWROknn7ieeeEEENa3ZAAh2wio-fENsWSdk6UXa50Uv3s852OR4R_Zvp6Av4cHKl_G5idwpSUGBFf1j4vVDXg1ewZFd7Xro7vs2blLV1FSrbFxarkPCJWjSRGxKUuSXFmeY0=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1N9rKlqwGYZIjprKNTQwW7cWj-rRilGCQyOYFnFSPpLE5nG6ggIuKSFRbZQ-q8YrBThfYABTSdSpXoKewUCKIzvDG3JJUUO1kTvX14VUeoSIiSPbW15vwhARA__ZCjyC3YmZa=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
George Howell Coffee,BOS-BB-110,42.3452743,-71.0836972,"400 Newbury St, Boston, MA 02215, United States",02215,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepAGdnFBNIPqO5AL7wovGBjxAUxL5xXo55RYFqQirrODNBjLKNuRwahf9SJsw8Vsa6EuTYScmVrls4qfwAaZmCo14qNzVSAHluevb1erfEU4mT0Ibz9K6jKnml504O-SpnTIp4poA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopWROknn7ieeeEEENa3ZAAh2wio-fENsWSdk6UXa50Uv3s852OR4R_Zvp6Av4cHKl_G5idwpSUGBFf1j4vVDXg1ewZFd7Xro7vs2blLV1FSrbFxarkPCJWjSRGxKUuSXFmeY0=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBlvlvbEXD3-XEpNm-5ewzsWjE5fr1bEaGzz-RG4MS5z5uoCm9ZUBDwSL4Q6kIU3gwFYTDCAFNW7MOcnu2MTv46JdBp8lPdKtkAcc1t0epTIPuQ7677Uw68LbmDr34XDPqXdcyJA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3m9WnMzuJ80Ewijy1DOpdV4w6uF87aylt3dbV2gPe6iU6fWywLMDLA05_EQPYG8vZPzJn-KHCAob_tV9e5OM4PkWaSbpKOjkj-NQT9iNzf4w1BS3AubmM3TsiTjFAKctc1WTl=w120-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w114-h86-k-no
