Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
Mike & Patty's Bay Village,BOS-BV-101,42.3485531,-71.0859629,"12 Church St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwephPTmYvX3b-leE8TaQZUZK3gzA5qKYpXJyhi8ptemNuOJkZzqGURXoXQzhud8VS8F4H0Q89Uws-mpLMOIOEOB1f4vc31prQuRwovLAl6Lx0BLlak2QQYB8P3ZYAVWELsAIdAGpgw=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no
Thinking Cup,BOS-BV-102,42.3485531,-71.0859629,"85 Newbury St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwephPTmYvX3b-leE8TaQZUZK3gzA5qKYpXJyhi8ptemNuOJkZzqGURXoXQzhud8VS8F4H0Q89Uws-mpLMOIOEOB1f4vc31prQuRwovLAl6Lx0BLlak2QQYB8P3ZYAVWELsAIdAGpgw=w129-h86-k-no
Berkeley Perk Cafe,BOS-BV-103,42.3485531,-71.0859629,"69 Berkeley St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
PHIN COFFEE HOUSE - Financial District,BOS-BV-104,42.353538,-71.074675,"10 High St, Boston, MA 02110, United States",02110,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
Pressed Cafe,BOS-BV-105,42.3462293,-71.0992716,"105 Huntington Ave, Boston, MA 02199, United States",02199,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
Trident Booksellers & Cafe,BOS-BV-106,42.3462293,-71.0992716,"338 Newbury St, Boston, MA 02115, United States",02115,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
Chinatown - Jaho Coffee Roaster & Wine Bar,BOS-BV-107,42.3517433,-71.0809185,"665 Washington St, Boston, MA 02111, United States",02111,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUhxBYxBWLGSK0naoYbEXArNnKRtlFPds5VJ7mGMYl9DiHYy49DEIAIdwgmFrGfBT5-RdEa3dMueCAtJMJVOgaIdaKsOBtUZcmLsUTpkgbtIZy8TNAZZU5Uej11EXoG5-MyWhp=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodENQ3V7SH_dPrGk-bPi56cT22cb9ZCHHD52xvopKn2ziN2ghlqTPtHllCXIeDk9eHXVDidKSFyPE-iiF1Z9bW3_NBQwDXwmmTiL6wO7myTefr1RnSx-GQ0KjQg-VkoBx1xwkxBw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
Tradesman Coffee Shop and Lounge,BOS-BV-108,42.3517433,-71.0809185,"58 Batterymarch St, Boston, MA 02110, United States",02110,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerxdXqs1upXwnWpa01UfxVBH7WWyjljHW4Tu8WE9IPjeMII7PkZc_RMzwekMy3TSqkNer7cEwGbDZwWzQXIAKnyMMBWNLSFyaXVJg76Y1VQECAJEfeQCIuY2iKod7CFpU62JRh5eQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUhxBYxBWLGSK0naoYbEXArNnKRtlFPds5VJ7mGMYl9DiHYy49DEIAIdwgmFrGfBT5-RdEa3dMueCAtJMJVOgaIdaKsOBtUZcmLsUTpkgbtIZy8TNAZZU5Uej11EXoG5-MyWhp=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
Bakey,BOS-BV-109,42.3517433,-71.0809185,"151 Tremont St, Boston, MA 02111, United States",02111,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerWS_5T9o8FVqEtRQCN4_l9zfZhmrhGNzpGhVGe07_U9WS3kjX1d46k8W8oAuvPJnuzLq7vyH1kax1PrBNV8Kf4O46yNSmmubDsEtqgDCQvBSfSjZqqcDyYRD3YOIhNOpg4rjYTiw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
The Well Coffee House,BOS-BV-110,42.3517433,-71.0809185,"212 Washington St, Boston, MA 02108, United States",02108,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerWS_5T9o8FVqEtRQCN4_l9zfZhmrhGNzpGhVGe07_U9WS3kjX1d46k8W8oAuvPJnuzLq7vyH1kax1PrBNV8Kf4O46yNSmmubDsEtqgDCQvBSfSjZqqcDyYRD3YOIhNOpg4rjYTiw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBpmNe3yAkEc1XNv7cqfJ9wKm9dpSU7txUFB3Sfq3Fu7gW96LBafmAweObWInYxkkHvCnz7-lvo9aX02cTRHcYZGeF99bE_ilm3qv-i1WwUGCoc7t-FfEbQATeZuOwYAFMhtjWWA=w125-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepo032V52cFj0hK2YjTWHTRDDciIkJZ4Pc57_XILoFD5OxhVzQ78nKwcukRt2WkdjpItuoCKuvvZSbdEVkO1z3VFu0jyce1GrUaT3a_jAa_toDeeVPg3Nu4G06jEN1blgiOOLRCmQ=w86-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepMrH7Rb7Qrumpjfjp5v1Mqwrjh1pEEDFpy9KVJlP447u6TDGRdm-BiaUXrBgw017TIXU1Cb70_JHNmx22J-XWNMxVQi7fMVglaih8qMLkqeevyS3Cgq72vr6JPJegy9W0-pLTu=w114-h86-k-no
