Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
Beacon Hill Books & Cafe,BOS-BH-101,42.3582002,-71.088318,"71 Charles St, Boston, MA 02114, United States",02114,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepFH4NeDoKaT_ntxkm7wtX9m75GccDdwIlqUXRykaEA1p4Ld-P3YCMfDDkAHlubJRH54Qt9qnVz3CGaFj2YYMdWxSqbpdAkarc-mP-65AXU8mQgX-aK0U_rzaSVGblu6RLOqcoO_EbQHwFm=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoUp8-L4EsOCglQdZuIyBcbMzA0CgdlH9sb-g-2klr01wZEz_30qSG3fcCcb5kj_Zch2X4X-cJYAE3xdpFyTUQjw7dKJw-Y1EDgw1_otkksd_WBVxRDLz7WwTelIROAOgfEKuMQ=w80-h106-k-no
Tatte Bakery & Cafe | Charles St,BOS-BH-102,42.3582002,-71.088318,"70 Charles St, Boston, MA 02114, United States",02114,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepFH4NeDoKaT_ntxkm7wtX9m75GccDdwIlqUXRykaEA1p4Ld-P3YCMfDDkAHlubJRH54Qt9qnVz3CGaFj2YYMdWxSqbpdAkarc-mP-65AXU8mQgX-aK0U_rzaSVGblu6RLOqcoO_EbQHwFm=w80-h106-k-no
Flour Bakery + Cafe,BOS-BH-103,42.3582002,-71.088318,"209 Cambridge St, Boston, MA 02114, United States",02114,https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
Thinking Cup,BOS-BH-104,42.3582002,-71.088318,"165 Tremont St, Boston, MA 02111, United States",02111,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoUp8-L4EsOCglQdZuIyBcbMzA0CgdlH9sb-g-2klr01wZEz_30qSG3fcCcb5kj_Zch2X4X-cJYAE3xdpFyTUQjw7dKJw-Y1EDgw1_otkksd_WBVxRDLz7WwTelIROAOgfEKuMQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
Capitol Coffee House,BOS-BH-105,42.3582002,-71.088318,"122 Bowdoin St, Boston, MA 02108, United States",02108,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaeemMVIKhwh9xJ69Q9tmJphRmaF4mEjisjLTlZEmy3CKWM-ey8neOYsufBg9GMnU1rR8wHx-EoFPRBefPSkrJS47QpusJyC3uPN3v_oJZZPT0meoE5PxR22FZDFOnPXTkUZs=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoUp8-L4EsOCglQdZuIyBcbMzA0CgdlH9sb-g-2klr01wZEz_30qSG3fcCcb5kj_Zch2X4X-cJYAE3xdpFyTUQjw7dKJw-Y1EDgw1_otkksd_WBVxRDLz7WwTelIROAOgfEKuMQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
Tatte Bakery & Cafe | Emerson,BOS-BH-106,42.3582002,-71.088318,"80 Boylston St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoyonBUdvTFpNVJtLnzKPcT9zWe_17ZnDICr_67rYjaYoCbh7f0iW1RfH05XEUh0phZ8sTGKLh8vQbZOPs9OzcD2HfWzMaqOK92unJLeJMKb1vjB07RV9V_GJ5VEi1iVXZKMzzWMQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaeemMVIKhwh9xJ69Q9tmJphRmaF4mEjisjLTlZEmy3CKWM-ey8neOYsufBg9GMnU1rR8wHx-EoFPRBefPSkrJS47QpusJyC3uPN3v_oJZZPT0meoE5PxR22FZDFOnPXTkUZs=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
Farmers Horse Coffee,BOS-BH-107,42.341987,-71.1014305,"374 Massachusetts Ave, Boston, MA 02115, United States",02115,https://lh3.googleusercontent.com/gps-cs-s/AHVAweppBNiVNo7KFKXaD2KGtML8TaMfXUSBHFyS0SuwO0hIL6UYWAnTJ2OUwXdjHfmVxHaaOlZ5rI37Py6Ote5TYg2FUVCLB3E5IEG7-ahqR0awRbaSwQFzjeSpJu5ctDPWClR8mOQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoyonBUdvTFpNVJtLnzKPcT9zWe_17ZnDICr_67rYjaYoCbh7f0iW1RfH05XEUh0phZ8sTGKLh8vQbZOPs9OzcD2HfWzMaqOK92unJLeJMKb1vjB07RV9V_GJ5VEi1iVXZKMzzWMQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
Tatte Bakery & Cafe | Back Bay,BOS-BH-108,42.3517583,-71.0899272,"399 Boylston St, Boston, MA 02116, United States",02116,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepXsdqex_TnE9_7pBcpn5g3txlUZLPQ3J2grel2qs8bWXciNji62H8gOfNVw_BI-zxRpK3ZR57f4lJ8bhNzgXNV28qVWvOkLc1D-gF1YakBJ3tgag2TtwGpAzT9t1C39D_WhmSv8w=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweppBNiVNo7KFKXaD2KGtML8TaMfXUSBHFyS0SuwO0hIL6UYWAnTJ2OUwXdjHfmVxHaaOlZ5rI37Py6Ote5TYg2FUVCLB3E5IEG7-ahqR0awRbaSwQFzjeSpJu5ctDPWClR8mOQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
PHIN COFFEE HOUSE - Financial District,BOS-BH-109,42.353538,-71.074675,"10 High St, Boston, MA 02110, United States",02110,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyokPR_GaNyeEjfmDEiGgSdEbRMihh9c7_80wo-5X-JSFsd1XBKzZguL7GDLs29cH6Vqd5pQ2VGIQR_8eFCZh7exlh-3J4KplAdUEvMjO-Ie25c_V00onRw4Vo1pJBaOnqy43a=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepXsdqex_TnE9_7pBcpn5g3txlUZLPQ3J2grel2qs8bWXciNji62H8gOfNVw_BI-zxRpK3ZR57f4lJ8bhNzgXNV28qVWvOkLc1D-gF1YakBJ3tgag2TtwGpAzT9t1C39D_WhmSv8w=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
Tatte Bakery & Cafe | Beacon St,BOS-BH-110,42.3457819,-71.1249331,"1003 Beacon St, Brookline, MA 02446, United States",02446,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFHegIKGNN3I-LtnQVUsmbkriTx8hgVKaDCejYqYwLznFNkyjdZipuoxWErPTG4zAPSpRcycKdEVC_kcXkK81ii2e0_JoSeQtY43DtSEe3GXzrZd_KgJTwUu3L9sNQlZrn2XB5=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyokPR_GaNyeEjfmDEiGgSdEbRMihh9c7_80wo-5X-JSFsd1XBKzZguL7GDLs29cH6Vqd5pQ2VGIQR_8eFCZh7exlh-3J4KplAdUEvMjO-Ie25c_V00onRw4Vo1pJBaOnqy43a=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgeoAxBFzwWTz6P9OjzhuriRzsqoJ2RcsDslq9BKjzzp_zBaLQlc1ec2fW6K0xPLMPSgggdkTazvMp74n2hS2QN6vh5ZzaRVMqHyNkcHmIgCqsQvuHyJf2caAqmvFcuuwN5sDxbQ=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwera7N5uF7UQUC9KhXA2Y7P6me5oyAj4rkjreudlXLXL6vbfwgk6IVvr6We3zWhvpeiBIZJmhQlxUfFQov_mBVKYHeLHl3APvu4WWy35-yDSseBny24rGKtCPzu52PIeUaDb9hLK=w80-h106-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopCbr4Lcpe2wPqBJPg5lpFLTWu2jv1uDeZNPEgsB51jjUCdfx3_dKX2b0SGF7Dx0T9gXsRULOt8TcupyU52StQw83aJh1kqR1oV290RkaL1bKJwpHysC5LzLmc8pG50HasKXol=w138-h92-k-no
