Name,Shop Code,Latitude,Longitude,Full Address,Pincode
At Good Place,AMD-BPL-101,23.0085604,72.4615448,"Bopal, Ahmedabad",N/A
La' Patron Cafe,AMD-BPL-102,23.0085604,72.4615448,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Vince cafe,AMD-BPL-103,23.0085604,72.4615448,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Bean Busters Cafe,AMD-BPL-104,23.0085604,72.4615448,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Brewspresso Southbopal,AMD-BPL-105,23.0243176,72.4538938,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Cafe Casino,AMD-BPL-106,23.0243176,72.4538938,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Roastea - Curated Coffee & Tea Artisans,AMD-BPL-107,23.0243176,72.4538938,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Urban Barista,AMD-BPL-108,23.0335983,72.4454106,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Gamysticafe,AMD-BPL-109,23.0126725,72.4521561,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
"AJAY’S CAFÉ BOPAL ROAD, AHMEDABAD",AMD-BPL-110,23.0322407,72.4413302,"Bopal, Ahmedabad",N/A
Kaaffeella Cafe,AMD-BPL-111,23.0322407,72.4413302,", SHOP NO 4&5, Poojan Complex, Bopal - Ghuma Rd, opposite LITTLE WINGS BRTS BUS STAND, near KABIR ENCLAVE, Bopal, Ahmedabad, Gujarat 380058",380058
