Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Southern Express Cafe South Bopal,AMD-BPL-101,23.0144054,72.4523503,", AAROHI ELYSIUM, 9, opp. Aarvi 156, South Bopal, Bopal, Ahmedabad, Gujarat 380057",380057
At Good Place,AMD-BPL-102,23.0144054,72.4523503,", Vince Cafe, YMCA, Ahead of Arose Foods, besides, to, S Bopal Rd, Ahmedabad, Gujarat 380054",380054
Brewspresso Southbopal,AMD-BPL-103,23.0144054,72.4523503,", Gala Mart, 1, Safal Parisar Rd, opp. AMC Civic Center, South Bopal, Bopal, Ahmedabad, Gujarat 380058",380058
"Bethak & Bluff Restro Cafe , South Bopal",AMD-BPL-104,23.0144054,72.4523503,", Bethak & Bluff restro cafe, VIP Rd, rd, near Bharat petrol pump, Bopal, Shela, Ahmedabad, Gujarat 380057",380057
Roastea - Curated Coffee & Tea Artisans,AMD-BPL-105,23.0302386,72.4741895,", 5th Floor, One42 Retail Plaza, South Tower, Unit 504-505, Road, Billionaires St, off Bopal, behind Swati Snacks, Ambli, Ahmedabad, Gujarat 380058",380058
Bean Busters Cafe,AMD-BPL-106,23.0243176,72.4538938,", CELEBRATION CITY CENTER, 55, S Bopal Rd, Bopal, Ahmedabad, Gujarat 380058",380058
La' Patron Cafe,AMD-BPL-107,23.0243176,72.4538938,", 501, Gala Gymkhana Rd, near Aryan Gloria Road, Chittavan, South Bopal, Bopal, Ahmedabad, Gujarat 380058",380058
Cheers Café,AMD-BPL-108,23.0144564,72.4429901,", Cheers cafe, near Sk shivana Flats, opposite Sky Sol, South, Bopal, Ahmedabad, Gujarat 380057",380057
Tea Post - Aarohi Galleria,AMD-BPL-109,23.0144564,72.4429901,", Aarohi galleria, Arohi Crest Rd, behind Block D and Bank of Baroda, South Bopal, Bopal, Ahmedabad, Gujarat 380058",380058
Vince cafe,AMD-BPL-110,23.0089328,72.4616256,", Karnavati Club Rd, near to fun food battalion after sapphire lawn, Mumatpura, Ahmedabad, Gujarat 380058",380058
Cafe Casino,AMD-BPL-111,23.0237492,72.453937,", A - 501, CELEBRATION CITY CENTER, Gala Gymkhana Rd, Bopal, Ahmedabad, Gujarat 380058",380058
Tea Post,AMD-BPL-112,23.0237492,72.453937,", GF- 001, Safal Parishar Marg, Orchid Centre, opp. SAFAL PARISAR, Bopal, Ahmedabad, Gujarat 380057",380057
Dessert Brew Cafè,AMD-BPL-113,23.0129867,72.4394119,", Shop No 1, Food Court, Foodilon, VIP Rd, South, Karnavati, Bopal, Ahmedabad, Gujarat 380058",380058
