Name,Shop Code,Neighborhood,Latitude,Longitude,Full Address,Zip Code,City,State
Whole Foods Market,BOS-101,Allston,42.361007,-71.1319604,", 340 River St, Cambridge, MA 02139, United States",02139,Boston,MA
Coffee Turco,BOS-102,Allston,42.3538857,-71.1551605,", 483 Cambridge St, Allston, MA 02134, United States",02134,Boston,MA
In House Cafe,BOS-105,Allston,42.3429634,-71.1713123,", 132 Chestnut Hill Ave, Brighton, MA 02135, United States",02135,Boston,MA
Pressed Cafe,BOS-106,Back Bay,42.3462293,-71.0902594,", 105 Huntington Ave, Boston, MA 02199, United States",02199,Boston,MA
Trident Booksellers & Cafe,BOS-107,Back Bay,42.348244,-71.0956352,", 338 Newbury St, Boston, MA 02115, United States",02115,Boston,MA
Flour Bakery + Cafe,BOS-108,Back Bay,42.3482811,-71.0827342,", 131 Clarendon St, Boston, MA 02116, United States",02116,Boston,MA
The Palm - Boston,BOS-111,Bay Village,42.3437735,-71.0715346,", 1 International Pl, Boston, MA 02110, United States",02110,Boston,MA
Mike & Patty's Bay Village,BOS-112,Bay Village,42.3485531,-71.1039874,", 12 Church St, Boston, MA 02116, United States",02116,Boston,MA
Tatte Bakery & Cafe | Charles St,BOS-114,Beacon Hill,42.3579001,-71.0795627,", 70 Charles St, Boston, MA 02114, United States",02114,Boston,MA
Longwood Galleria Food Court,BOS-116,Brighton,42.3490051,-71.1484997,", 400 Brookline Ave, Boston, MA 02215, United States",02215,Boston,MA
Cafenation Cafe & Roastery,BOS-117,Brighton,42.3488836,-71.190241,", 380 Washington St, Brighton, MA 02135, United States",02135,Boston,MA
Tradesman Coffee Shop & Pizza Bar,BOS-119,Charlestown,42.380445,-71.1079817,", 50 Hood Park Dr, Boston, MA 02129, United States",02129,Boston,MA
Chinatown - Jaho Coffee Roaster & Wine Bar,BOS-122,Chinatown,42.3517433,-71.0809185,", 665 Washington St, Boston, MA 02111, United States",02111,Boston,MA
Kneeland Café,BOS-125,Leather District,42.3502407,-71.0695186,", 75 Kneeland St, Boston, MA 02111, United States",02111,Boston,MA
LongCross Bar and Kitchen,BOS-126,Dorchester,42.403611,-71.1536758,", 501 Fellsway, Medford, MA 02155, United States",02155,Boston,MA
Coco Leaf - AKoKo Cafe Dorchester,BOS-127,Dorchester,42.3000927,-71.1321516,", 1480 Dorchester Ave, Boston, MA 02122, United States",02122,Boston,MA
The Berkeley Bistro + Bar,BOS-130,Downtown,42.349171,-71.0814752,", 350 Stuart St, Boston, MA 02116, United States",02116,Boston,MA
The Well Coffee House,BOS-131,Downtown,42.3585404,-71.0667445,", 212 Washington St, Boston, MA 02108, United States",02108,Boston,MA
Toasted Flats,BOS-132,East,42.3711266,-71.0731832,", 53 Chelsea St, Boston, MA 02128, United States",02128,Boston,MA
Tatte,BOS-134,Fenway Kenmore,42.3439213,-71.1177455,", 1352 Boylston St, Boston, MA 02115, United States",02115,Boston,MA
