Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,City,State,Images
Glasser Coffee Co.,BOS-BRI-101,42.3505283,-71.2016797,"589 Washington St, Brighton, MA 02135, United States",02135,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqYEokjsTkcnt5U2MlsVHJZpbQd8DsgyS4IfFNq0SBYVXQvAAyMZDYzF6EcVlsreTZeV7So75RXIAwraUjemU2I7dAocmpHaN_5foHkm1l0XChm4O6bTaaLJTajw-Ae27GhGbXkYZxopAp0=w104-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtDYYjRYZqHNlIlT2dcSDL5aQ0vqs0ghHsZ2Cx4B81QGdX6j7G1j-cAZGqrcsijAEH7IidneECJt-rkKWEYPUn5ALSB1J-YABntKjfaK4dbvmqbPkm7JKbSgmWGPn10yBKSfw7XA=w152-h86-k-no
Tradesman Brighton,BOS-BRI-102,42.3505283,-71.2016797,"380 Washington St, Brighton, MA 02135, United States",02135,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no
Dolce Vita Cafe,BOS-BRI-103,42.3505283,-71.2016797,"1698 Commonwealth Ave, Boston, MA 02135, United States",02135,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no
Cafe Mirror,BOS-BRI-104,42.3505283,-71.2016797,"362 Washington St, Boston, MA 02135, United States",02135,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtDYYjRYZqHNlIlT2dcSDL5aQ0vqs0ghHsZ2Cx4B81QGdX6j7G1j-cAZGqrcsijAEH7IidneECJt-rkKWEYPUn5ALSB1J-YABntKjfaK4dbvmqbPkm7JKbSgmWGPn10yBKSfw7XA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no
Dash Cafe,BOS-BRI-105,42.3505283,-71.2016797,"5 Henshaw St, Brighton, MA 02135, United States",02135,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoSCFuIK00aopQ1XE6rxR6m-1LtTOlOFaMTNGTQXc0XkDTjq0wp7PLXvUySGq51dm-2ib27F9bBgun6rFmPo9S_c6XJIrQw0UR_pj6EWDeiPTkItRefENzx6S7FhYpIpzdcuXWEZQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqtDYYjRYZqHNlIlT2dcSDL5aQ0vqs0ghHsZ2Cx4B81QGdX6j7G1j-cAZGqrcsijAEH7IidneECJt-rkKWEYPUn5ALSB1J-YABntKjfaK4dbvmqbPkm7JKbSgmWGPn10yBKSfw7XA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no
WFM Coffee Bar,BOS-BRI-106,42.3627353,-71.1764928,"415 Western Ave, Brighton, MA 02135, United States",02135,Boston,MA,
Cafe Lava and Bento,BOS-BRI-107,42.3627353,-71.1764928,"298 Washington St, Brighton, MA 02135, United States",02135,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerxZiX3yhW0BFgWVbFm6gKnHABWsMxhIo_AMRiHQ8wpjABJJ1fqEMXHVrhcyhCUG0eG-DYMu6mq6oSbjRAAmnbGBXw89hLvjEe8p5lriDKckLN79Y_hFqfJDL8xWxkSWnGaXv-S=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7DGtR3LNMrXJGrJ9u19SR9xI2ldBlTT4oNK0unGEGEgGcME5sGI0q2tbUtGe-dj8Ex7mzuPpQRunbXVXmIA7QuIqmRZhHJXE2ls5GA3cGgaLhgSPa0ecDh1KTPXMxvgI60gMJ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no
Coffee Turco,BOS-BRI-108,42.3352748,-71.186415,"383 Chestnut Hill Ave, Boston, MA 02135, United States",02135,Boston,MA,
Cafe Weekend,BOS-BRI-109,42.3525056,-71.1677689,"120 Harvard Ave, Boston, MA 02134, United States",02134,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqF2QiaTgIo2bH1pY7o11G0TVqmdyYZQMsWShb-lTh0NWGSpcezGp8L_UHNC04DJdY8reE0JYgHHl0EeJILiRKLfDWnygDkkPGAbpQC4x3uomFul4Fj2eBLuVPdsg2tvpGDMLwn=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep8-WGUUzriTLXNm6Ev3PtDHHbqIkzxd4GOcV4sdRJ90xq0HNb4HVqQs7owVkndkDRuvqUUbFaeEYnAznn3QOriBiHZykMVwX49EDNSddW_ixwkPrNOIOch9rVSunsYDHQQqPTg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no
Cafe Fixe,BOS-BRI-110,42.3525056,-71.1677689,"1642 Beacon St, Brookline, MA 02445, United States",02445,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqJbT0GI0CeAHE2pT_FSBcxKoAbB6THkiKCEtzcB8fP9xPUPTtn5vz-mFssBXsrsAtwEm-hlQ_9-jw5RDBo3_3siIwnqUmnKDmRGnPr1x9S9gR_NzmrtiOduSQq5CIS1r-GLuoFOQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqF2QiaTgIo2bH1pY7o11G0TVqmdyYZQMsWShb-lTh0NWGSpcezGp8L_UHNC04DJdY8reE0JYgHHl0EeJILiRKLfDWnygDkkPGAbpQC4x3uomFul4Fj2eBLuVPdsg2tvpGDMLwn=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoczdo_lIT-DwHhwYcZSvVvs8U_W5RsfD2Uubr3HRmtRlGAaqRAfTdF222Shud9Q3wT6RDRp3C5s_ymDeUMW-DpdEJmD-UBHASjaIzO2_n272GVtxUDBfUUKzd2Q_WSUnNZ6NzQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5EYtuo-O_jt34DCQAnySjVReiX1C15EuQ_7aZ9qyYtLiBz5tMUMPRHAG0PPMH3jGM4WP3wXWVXaTkNny8emSTa8N0UeyVy5MJboqcgIPlvQ91dq4hZ12zsb6pIjgTSfWnlhdiiQ=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerBYU3fm64BhdHCnLoZ9EHIdqWX4XV1dvOdhVRiqHvn30qQ5QIHYTqx1VIr1xlurBneCWB5His4wdE8mKLeISX6I80LG7cs0K-QGpeX6fonbERcEeJkTU7cayPzItUU5NWiAy6c=w86-h114-k-no
