Shop Name,Menu Item,Price
Kohi Coffee Company,Batch Brew,$3.75
Kohi Coffee Company,,$3.75
Kohi Coffee Company,NoLA Cold Brew,$6.00
Kohi Coffee Company,$6.00 - $7.00,$6.00
Kohi Coffee Company,SO Cold Brew,$5.25
Kohi Coffee Company,$5.25 - $6.25,$5.25
Kohi Coffee Company,‘Spro Tonic,$6.00
Kohi Coffee Company,,$6.00
Kohi Coffee Company,Cortado,$5.25
Kohi Coffee Company,,$5.25
Kohi Coffee Company,Cappuccino,$5.75
Kohi Coffee Company,,$5.75
Kohi Coffee Company,Latte,$6.25
Kohi Coffee Company,,$6.25
Kohi Coffee Company,NoLA Latte,$7.25
Kohi Coffee Company,,$7.25
Kohi Coffee Company,Mocha,$7.25
Kohi Coffee Company,Race Point Espresso,$21.00
Kohi Coffee Company,Kohi Standard Instant,$17.00
Kohi Coffee Company,KōHI Standard,$22.00
Kohi Coffee Company,Race Point Instant,$17.00
Kohi Coffee Company,Kohi Graphic Mugs,$15.00
Kohi Coffee Company,"Pullover Heavyweight Hoodie ""Rizzo Cup""",$55.00
Kohi Coffee Company,Kohi Miir Tumbler,$30.00
Kohi Coffee Company,Kohi Miir Sip Tumbler,$36.00
Kohi Coffee Company,Rizzo Limited Edition Tote '24,$27.00
Kohi Coffee Company,Kohi Tote Bag.,$15.00
Kohi Coffee Company,Toddy Cold Brew System,$45.00
Kohi Coffee Company,Chemex Unbleached Folded Filters,$11.00
Kohi Coffee Company,Dripper Filters,$6.00
Turkish Lazuri Cafe,Lentil Soup,$6.95
Turkish Lazuri Cafe,Lahmacun (3 Pcs),$19.95
Turkish Lazuri Cafe,Lazuri Chicken Bowl,$17.95
Turkish Lazuri Cafe,Etli Nohut (Chickpeas Stew),$19.95
Turkish Lazuri Cafe,Chicken Soup,$6.95
Turkish Lazuri Cafe,Meat Soup (Kelle Paca),$8.95
Turkish Lazuri Cafe,Cacik (Turkish Yogurt),$6.95
Turkish Lazuri Cafe,Hummus,$10.50
Turkish Lazuri Cafe,Baba Ghanoush,$10.50
Turkish Lazuri Cafe,Ezme Salad,$10.50
Turkish Lazuri Cafe,Turkish Aubergine (Soslu Patlican),$10.50
Turkish Lazuri Cafe,Stuffed Grape Leaves (Dolma),$10.50
Turkish Lazuri Cafe,Çig Köfte,$10.50
Turkish Lazuri Cafe,Spinach Pie,$9.95
Turkish Lazuri Cafe,Stuffed Cheese Phyllo (Sigara Borek),$10.50
Turkish Lazuri Cafe,Falafel,$10.50
Turkish Lazuri Cafe,Içli Köfte (Stuffed Meatball),$13.95
Turkish Lazuri Cafe,Grilled Veggie Wrap,$12.50
Turkish Lazuri Cafe,Chicken Shish Wrap,$12.50
Turkish Lazuri Cafe,Chicken Doner Wrap,$12.50
Turkish Lazuri Cafe,Chicken Kofte Wrap,$12.50
Turkish Lazuri Cafe,Chicken Adana Wrap,$12.50
Turkish Lazuri Cafe,Adana Wrap,$13.50
Turkish Lazuri Cafe,Doner Wrap,$13.50
Turkish Lazuri Cafe,Mixed Döner Wrap,$13.50
Turkish Lazuri Cafe,Kofte Wrap,$13.50
Turkish Lazuri Cafe,Falafel Wrap,$12.50
Turkish Lazuri Cafe,Çiğ Köfte Wrap,$12.50
Turkish Lazuri Cafe,Lazuri Dürüm,$16.50
Turkish Lazuri Cafe,Lazuri Veggie Bowl,$17.95
Turkish Lazuri Cafe,Lazuri Lamb Bowl,$18.95
Turkish Lazuri Cafe,Lahmacun,$7.50
Turkish Lazuri Cafe,Gözleme,$16.95
Turkish Lazuri Cafe,Combo Gözleme,$18.95
Turkish Lazuri Cafe,Cheese Pide,$18.95
Turkish Lazuri Cafe,Veggie Pide,$18.95
Turkish Lazuri Cafe,Spinach Pide (Ispanakli),$18.95
Turkish Lazuri Cafe,Kiymali Pide,$19.95
