Shop Name,Menu Item,Price
Cafe Weekend,,·$10–20
Cafe Weekend,,·$10–20
Cafe Weekend,,·$10–20
Cafe Weekend,,·$10–20
Cafe Weekend,,·$10–20
Cafe Weekend,,·$10–20
Cafe Weekend,,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,Cafe Weekend,·$10–20
Cafe Weekend,4.8,·$10–20
Cafe Weekend,4.8,·$10–20
Cafe Weekend,4.8,·$10–20
Kohi Coffee Company,,·$10–20
Kohi Coffee Company,,·$10–20
Kohi Coffee Company,,·$10–20
Kohi Coffee Company,,·$10–20
Kohi Coffee Company,,·$10–20
Kohi Coffee Company,,·$10–20
Kohi Coffee Company,,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,Kohi Coffee Company,·$10–20
Kohi Coffee Company,4.2,·$10–20
Kohi Coffee Company,4.2,·$10–20
Kohi Coffee Company,4.2,·$10–20
