Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,City,State,Images
The Berkeley Bistro + Bar,BOS-CHT-101,42.349171,-71.1085119,"350 Stuart St, Boston, MA 02116, United States",02116,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQIFGYjA9vw0ekqr16LBp01ISw4jB7lmyFZ973GS6-tMWr8c05rikFtipGyIEzUnAuENwaxgwOQHNvZwwHBWFpW46R2ufIdaDhaeOSnJNeZfcTI83BlBDbbecaB2XPzlUYPdIpvg_Zjwc-=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAYJLeFdlB4XaXLCNxybYZkxNx-ckzP--A2_YsDsr-MZ7ey5qFphWF0gNakv40uqob5YRQ5gJbd82WeCSmnjwJO6CTqYdnCWRql7t1eXbFHlNU0P0f7lTS78PWluHSC0qqWxmd_R_KLzk=w114-h86-k-no
Tatte Bakery & Cafe | Charlestown,BOS-CHT-102,42.3732618,-71.0975749,"40 Warren St, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQIFGYjA9vw0ekqr16LBp01ISw4jB7lmyFZ973GS6-tMWr8c05rikFtipGyIEzUnAuENwaxgwOQHNvZwwHBWFpW46R2ufIdaDhaeOSnJNeZfcTI83BlBDbbecaB2XPzlUYPdIpvg_Zjwc-=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAYJLeFdlB4XaXLCNxybYZkxNx-ckzP--A2_YsDsr-MZ7ey5qFphWF0gNakv40uqob5YRQ5gJbd82WeCSmnjwJO6CTqYdnCWRql7t1eXbFHlNU0P0f7lTS78PWluHSC0qqWxmd_R_KLzk=w114-h86-k-no
Tradesman Coffee Shop & Pizza Bar,BOS-CHT-103,42.3732618,-71.0975749,"50 Hood Park Dr, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Cmelatte Cafe,BOS-CHT-104,42.3732618,-71.0975749,"197 8th St, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Pixlcat Coffee & Butter Mochi,BOS-CHT-105,42.3732618,-71.0975749,"32 Cambridge St, Charlestown, MA 02129, United States",02129,Boston,MA,
emmi bakery & cafe,BOS-CHT-106,42.3732618,-71.0975749,"100 City Square, Boston, MA 02129, United States",02129,Boston,MA,
Anna's Cafe,BOS-CHT-107,42.3732618,-71.0975749,"275 Medford St, Charlestown, MA 02129, United States",02129,Boston,MA,
Constitution Cafe,BOS-CHT-108,42.3732618,-71.0975749,"300 1st Ave, Charlestown, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweraFBNCVzmJtrr6JGwSe_rIb_SM4pgGed_JNg_V9CPhjhzyPjeYkJM7m1T_VgfZYLHoFMFGtLAI5i7GDCqhMtNydAxAtJr_Dh09SP6N1I40K8VhNO1l0S12Cg1v2s3gnCgcceVE=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepBAYJLeFdlB4XaXLCNxybYZkxNx-ckzP--A2_YsDsr-MZ7ey5qFphWF0gNakv40uqob5YRQ5gJbd82WeCSmnjwJO6CTqYdnCWRql7t1eXbFHlNU0P0f7lTS78PWluHSC0qqWxmd_R_KLzk=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
Sunnyside All Day Brunch Cafe,BOS-CHT-109,42.3732618,-71.0975749,"100 Hood Park Dr, Boston, MA 02129, United States",02129,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepkX1PhgvafZ8mDA18t3EdhXuNqihj9hk-0LoZZ3iMgduTwk_1TK7udLXPPLVsBbPJX_RhT4IYaMlQqHZLnQjdSCqSUd-VPQuP1tG9Ro2GE1BsjyV00wrJtPh-to9Iw3B5yUfLr3x2NMUi0=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweraFBNCVzmJtrr6JGwSe_rIb_SM4pgGed_JNg_V9CPhjhzyPjeYkJM7m1T_VgfZYLHoFMFGtLAI5i7GDCqhMtNydAxAtJr_Dh09SP6N1I40K8VhNO1l0S12Cg1v2s3gnCgcceVE=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7BVi_KWtTWgXi1q7h5Ay4xYNiFvG0j7VpMufFJ7fDbcUIDwFiAxqJj6tXbAbXlXhqQJne3muFVVwc0XM0x3r4_tndY7p_ozcfGd1-Fss5GdLOypPXCd9jWQNZq-Urq9t4eF_8=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBwtlQ155Opi7t3BEMQjh99K80h1sTBLa-1Fd6sWgMp4VDl-aEZVA0KseGClmP5J46ehigzrsl3iJ-KFYPvu83mWe0tcUu1LO_AQ9jvCVF2MGAuJT_lGIz4fd6YRCklPbDNOrJ=w152-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweopaFf5wPCOb1_IaHNs19JbU9kTj08e8Y9toCDV84MD7wDoj1gHXPyuZTf8NPyiofChkbaPq0Vq2vfYdDw9g72dVfKO5D5Z3m1GPLx2I-ZFR8gMu_LLhGDc_6ROt9Xx77u1uGza=w86-h114-k-no
La Saison Bakery,BOS-CHT-110,42.3732618,-71.0975749,"221 Main St, Charlestown, MA 02129, United States",02129,Boston,MA,
