Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,City,State,Images
Coco Leaf - AKoKo Cafe Dorchester,BOS-DOR-101,42.3000927,-71.1321516,"1480 Dorchester Ave, Boston, MA 02122, United States",02122,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7dKem5nZJ1Wm5VHLsxLBL5K-PDQffSTWKdMIvgjY_ZARo5Cc5xe5dqmxRULMJSOPrUSHgPlBhK02OEYiKj5SKj0JpB0jrOViQO9KDG4qnNCKArnhJzRGlaC2wyjylSWt5lTE7VA=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPhGTr6BWJwzX7cOAefMJCtvRetmbO4g9qsi167DILOpGXEU0ed_Ln14ACgmeGLWEvx76yE8rowXBQRRaFbZfM5SHyXy3-Vfnhr9KY0TC12FvYC3JDAckd06MYtA8h5ZFcfzIA=w86-h114-k-no
home.stead bakery & cafe,BOS-DOR-102,42.3000927,-71.1321516,"1448 Dorchester Ave, Boston, MA 02122, United States",02122,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7dKem5nZJ1Wm5VHLsxLBL5K-PDQffSTWKdMIvgjY_ZARo5Cc5xe5dqmxRULMJSOPrUSHgPlBhK02OEYiKj5SKj0JpB0jrOViQO9KDG4qnNCKArnhJzRGlaC2wyjylSWt5lTE7VA=w86-h114-k-no
"House Of Seven Cafe & Bakery, LLC",BOS-DOR-103,42.3000927,-71.1321516,"21 Clementine Park, Boston, MA 02124, United States",02124,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
Sugar Bowl Coffee,BOS-DOR-104,42.3000927,-71.1321516,"857 Dorchester Ave, Dorchester, MA 02125, United States",02125,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
Madhouse Cafe,BOS-DOR-105,42.3000927,-71.1321516,"24 Blue Hill Ave, Boston, MA 02119, United States",02119,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPhGTr6BWJwzX7cOAefMJCtvRetmbO4g9qsi167DILOpGXEU0ed_Ln14ACgmeGLWEvx76yE8rowXBQRRaFbZfM5SHyXy3-Vfnhr9KY0TC12FvYC3JDAckd06MYtA8h5ZFcfzIA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
Flat Black Coffee,BOS-DOR-106,42.3000927,-71.1321516,"1170 Washington St, Dorchester Center, MA 02124, United States",02124,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerX938y-eZVr4zjk6ULkxe1hCyyv44tyq4n3c5JMkHP57vy5tFwgQb7ciGM9ka0gUGf5QI0ewr7KGFa8z9d652S6n_ABBUPq_i-ZyED8gJ6ruDBNaAoNrvRAbYdDwEsPpQ7Zq1m=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPhGTr6BWJwzX7cOAefMJCtvRetmbO4g9qsi167DILOpGXEU0ed_Ln14ACgmeGLWEvx76yE8rowXBQRRaFbZfM5SHyXy3-Vfnhr9KY0TC12FvYC3JDAckd06MYtA8h5ZFcfzIA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
Esthetic Bean Coffee Shop,BOS-DOR-107,42.3000927,-71.1321516,"16 Preble St, South Boston, MA 02127, United States",02127,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepFbI0pHesBLfVgJMLuQTdpuLwUFjZ2qU1YkO8v9PpM8NF8QbEkJqPe1JphL2ASs45m4efbkzl9HZPw52u2zcl1LSKUnmdYZEDjfR5YtT41cvMXwG47ugy6K731FfYdqoUurlGN=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerX938y-eZVr4zjk6ULkxe1hCyyv44tyq4n3c5JMkHP57vy5tFwgQb7ciGM9ka0gUGf5QI0ewr7KGFa8z9d652S6n_ABBUPq_i-ZyED8gJ6ruDBNaAoNrvRAbYdDwEsPpQ7Zq1m=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
Ripple Cafe,BOS-DOR-108,42.3000927,-71.1321516,"1906 Dorchester Ave, Boston, MA 02124, United States",02124,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodLLJnMb7COf72Dv4z6Pn61pNncbEysDIo7Rx9b6IRxQYvVc7L3R-QAqF9vxkvLX6UUkQoTslg6CWV5F9oEyN6gWh7DKV4fpwyVgfXjJWOGmVrXxcRx7ha9C-Ai3RB75VN7eWU3A=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepFbI0pHesBLfVgJMLuQTdpuLwUFjZ2qU1YkO8v9PpM8NF8QbEkJqPe1JphL2ASs45m4efbkzl9HZPw52u2zcl1LSKUnmdYZEDjfR5YtT41cvMXwG47ugy6K731FfYdqoUurlGN=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
Cannonball Cafe,BOS-DOR-109,42.3350246,-71.1292675,"383 Dorchester Ave, Boston, MA 02127, United States",02127,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAwephpjvIEfwO0S-dRkiTb_IPXojYPOyncXsWGbySFgPbH9AahUHYc99DHxJraYDJ1Ox_vuxDDeMWwq6CUEFHYeEZhZXWVJQbc223qzEFMgckNspt5tp9AGWS-178xQAmHhWboQBj=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweodLLJnMb7COf72Dv4z6Pn61pNncbEysDIo7Rx9b6IRxQYvVc7L3R-QAqF9vxkvLX6UUkQoTslg6CWV5F9oEyN6gWh7DKV4fpwyVgfXjJWOGmVrXxcRx7ha9C-Ai3RB75VN7eWU3A=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
McKenna's Cafe,BOS-DOR-110,42.3350246,-71.1292675,"107-109 Savin Hill Ave, Dorchester, MA 02125, United States",02125,Boston,MA,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoVTuWUU0fbFv3cNMHzRGexk6cHKPezhcDwWFUod_7TnFRr5_XwrhjsIB6Enf2kk-XmPa3oUGz_ohfYxa7N_LTj2_7nwLjNokZ8n-LeR-D9so3_eKfOXGU4p7vE3xUcDee32HRc=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwephpjvIEfwO0S-dRkiTb_IPXojYPOyncXsWGbySFgPbH9AahUHYc99DHxJraYDJ1Ox_vuxDDeMWwq6CUEFHYeEZhZXWVJQbc223qzEFMgckNspt5tp9AGWS-178xQAmHhWboQBj=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerbgxJRZqaiNJbtOpLsUJaEcKQs1BZEakf-IFO0bnS4pSpCOFDs13HcZTN1WhK4Hs3aoV7hROGZC5DEkKabJpVGitYtz7jek8qYhDx9cVDmIk-wb5VqnwbLsBFT7okZU7pWFkv2=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep2iIm5uFkeuoKlBFKkpuydNpM38anhiFpEFV2nw6BqR-4W3rlVzCFPpBtiXe2teTx-veeh3B4o-dvR_A7SzVQE9SmdREc0hS8hi03JtNBeuRFpFgNb72D68gpwoApiifGQD7VO=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w86-h114-k-no
