Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
PHIN COFFEE HOUSE - Financial District,BOS-DT-101,42.353538,-71.0656628,"10 High St, Boston, MA 02110, United States",02110,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerAFfqr1tWklFCd4gRAuzCYfusUvcfxY6eJIOPWRphs8w6PaQJbUdxtw94H1_mWt5Wue7vFV0eTPSGsd907YVStbgA818KB93WaNgzmEqVhgCtZ-ze4qsHapH4q9Igs97cLzJL8NA=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFAMNJseo1RdoJXXRigniUVcUu4igCNiODVnIG0gs5iKil8P4bdTHBEzEzZxRShTS0cVqOPDoA5aWPmWbt2eerWPBJ8jFDyNO_XlESypM-L1ZcFWqeGk3xyNhi_frB0YsB2pGW=w86-h86-k-no
Tradesman Coffee Shop and Lounge,BOS-DT-102,42.353538,-71.0656628,"58 Batterymarch St, Boston, MA 02110, United States",02110,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerAFfqr1tWklFCd4gRAuzCYfusUvcfxY6eJIOPWRphs8w6PaQJbUdxtw94H1_mWt5Wue7vFV0eTPSGsd907YVStbgA818KB93WaNgzmEqVhgCtZ-ze4qsHapH4q9Igs97cLzJL8NA=w114-h86-k-no
Chinatown - Jaho Coffee Roaster & Wine Bar,BOS-DT-103,42.3517433,-71.0719063,"665 Washington St, Boston, MA 02111, United States",02111,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no
George Howell Coffee,BOS-DT-104,42.3517433,-71.0719063,"505 Washington St, Boston, MA 02111, United States",02111,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerAFfqr1tWklFCd4gRAuzCYfusUvcfxY6eJIOPWRphs8w6PaQJbUdxtw94H1_mWt5Wue7vFV0eTPSGsd907YVStbgA818KB93WaNgzmEqVhgCtZ-ze4qsHapH4q9Igs97cLzJL8NA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no
Gracenote Coffee Boston,BOS-DT-105,42.3517433,-71.0719063,"108 Lincoln St, Boston, MA 02111, United States",02111,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFAMNJseo1RdoJXXRigniUVcUu4igCNiODVnIG0gs5iKil8P4bdTHBEzEzZxRShTS0cVqOPDoA5aWPmWbt2eerWPBJ8jFDyNO_XlESypM-L1ZcFWqeGk3xyNhi_frB0YsB2pGW=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerAFfqr1tWklFCd4gRAuzCYfusUvcfxY6eJIOPWRphs8w6PaQJbUdxtw94H1_mWt5Wue7vFV0eTPSGsd907YVStbgA818KB93WaNgzmEqVhgCtZ-ze4qsHapH4q9Igs97cLzJL8NA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no
Thinking Cup,BOS-DT-106,42.3517433,-71.0719063,"165 Tremont St, Boston, MA 02111, United States",02111,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8DrejnSE_BoimVn5YQj67kf2KtG0nBK1yxuAQDirJaCJ_bFli2YdN8Uqrz0Pkb4l8oZE36BuJDg65rQEGpGPXBlxCFl_hojd4I3FwzUIrzi6z9lIdXfWxhfPEfI3Dm_1Hz6Tj=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFAMNJseo1RdoJXXRigniUVcUu4igCNiODVnIG0gs5iKil8P4bdTHBEzEzZxRShTS0cVqOPDoA5aWPmWbt2eerWPBJ8jFDyNO_XlESypM-L1ZcFWqeGk3xyNhi_frB0YsB2pGW=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no
Sip Café,BOS-DT-107,42.3559136,-71.0645412,"0 Post Office Square, Boston, MA 02110, United States",02110,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaeemMVIKhwh9xJ69Q9tmJphRmaF4mEjisjLTlZEmy3CKWM-ey8neOYsufBg9GMnU1rR8wHx-EoFPRBefPSkrJS47QpusJyC3uPN3v_oJZZPT0meoE5PxR22FZDFOnPXTkUZs=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8DrejnSE_BoimVn5YQj67kf2KtG0nBK1yxuAQDirJaCJ_bFli2YdN8Uqrz0Pkb4l8oZE36BuJDg65rQEGpGPXBlxCFl_hojd4I3FwzUIrzi6z9lIdXfWxhfPEfI3Dm_1Hz6Tj=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no
BON! Specialty Coffee,BOS-DT-108,42.3577292,-71.0717424,"22 Beacon St, Boston, MA 02108, United States",02108,
Koko Coffee | State Street,BOS-DT-109,42.3593804,-71.0603072,"255 State St, Boston, MA 02109, United States",02109,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOfsC7ac9V8u8J_YU6NTZXsf_tLcW9fV75wPb0KSS4KL0VP3MdGN6ANN5CV23kjnPbfU4SXDSPSF1KG2ikO0fIWIEa8UyKaWi8opId6O76hVEdK4Y1V1_7dnd2CaiytIxXAyCH3ZyMN5YL=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJgnVtY0E8CsuTtI0ohf8qXjwjX5g_08y8TlRGhGQdWJsGpvF57XjuW6NDz4UEIQWGHP7aLUmN82CXZ8-_xqdVkL5CT7eNiMSOL-WJxUidP0BB9ZDHQAY3PI7nOy6XzkXCP-V7fQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no
Bean & Leaf Cafe,BOS-DT-110,42.3593804,-71.0603072,"20 Custom House St, Boston, MA 02109, United States",02109,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1sxGulqA9r0u-8bkANNVo_nyzEXV0h8tkuBRJyQFThfFeBfcy7Cf5PgoWsy1EGw6s5XuvwKPRnZKVGwVaQWCnqhvUINvEtnjZhymGhdfUi9cB4LErK_d9C6jtfFWMo5pcal3N=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOfsC7ac9V8u8J_YU6NTZXsf_tLcW9fV75wPb0KSS4KL0VP3MdGN6ANN5CV23kjnPbfU4SXDSPSF1KG2ikO0fIWIEa8UyKaWi8opId6O76hVEdK4Y1V1_7dnd2CaiytIxXAyCH3ZyMN5YL=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDoZ5j6adg7wbRX6pTqFgdT1G0AaYx6Xrj7rg66W3K_gGxjdaJlXR6oYELAhW5DM6RGgGtddl79_JeH6q8aqDX6secMTPucvGGyjKpDAItjH9XiInGIWgUUd8koyJ-eaWLuz0P=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTF99KVAao6PfaOB_-QrXYFq2Z-8tQQ87AYUe9Eq9TtUlJ8iRnRt0qPVrh64n7ZqbEDWwZ6RWucsCmegV6WORhGt3B93dqkykfkViLS0x5tU6UgoqBDJoaXNMSZclzT_grI7yo=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6zUnRtDm481QlSz9mFgzHCN4QKS8uMo2YkAB6_XP8tk81DVF1GVjTk-JJKw9hfhuVX3uwP2kdtBNWt_7I86OBDXL626D_h5Zeh-_LzvxtV0HC1WjagNkzzaYgd7NCxtRii57I=w114-h86-k-no
