Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
The Well Coffee House,BOS-EB-101,42.3742508,-71.0760291,"173 Border St, East Boston, MA 02128, United States",02128,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKL3bjFozH0l53NAYE7MKgVZdGpDXhewZDnRuKZr7bZJBon8dNuq_NkuIrgTIiYMOrCSAe9U3st-CyI16-YZlhKYG2rIL5ajKDEUGLo3XteAfloEhLWkpnQCL55p3MsoVwVc4rpg=w114-h86-k-no
Eagle Hill Cafe,BOS-EB-102,42.3742508,-71.0760291,"65 Meridian St, East Boston, MA 02128, United States",02128,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKL3bjFozH0l53NAYE7MKgVZdGpDXhewZDnRuKZr7bZJBon8dNuq_NkuIrgTIiYMOrCSAe9U3st-CyI16-YZlhKYG2rIL5ajKDEUGLo3XteAfloEhLWkpnQCL55p3MsoVwVc4rpg=w114-h86-k-no
Kaori Cafe,BOS-EB-103,42.3742508,-71.0760291,"303 Meridian St, Boston, MA 02128, United States",02128,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjyinV5kmYOZLSkw7X3eTMP6JLAsXBqQD1VEHorb9VwGlj-caw5Pstx6FcS_qiUIIB7lCPL8zWCMBSGWC-bh6mIzCuXr2q0j_f00iaFXJjFRNs2-2_bHF1pnqhFBD8HMh_0UTQnE1jp5E=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no
Aloe Natural Açaí & Coffee Shop,BOS-EB-104,42.3742508,-71.0760291,"256 Marginal St Building 16, Boston, MA 02128, United States",02128,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerjyinV5kmYOZLSkw7X3eTMP6JLAsXBqQD1VEHorb9VwGlj-caw5Pstx6FcS_qiUIIB7lCPL8zWCMBSGWC-bh6mIzCuXr2q0j_f00iaFXJjFRNs2-2_bHF1pnqhFBD8HMh_0UTQnE1jp5E=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no
Starbucks Coffee Company,BOS-EB-105,42.39199,-71.0490989,"430 William F McClellan Hwy, Boston, MA 02128, United States",02128,
Travelmug Cafe,BOS-EB-106,42.3540318,-71.080391,"50 Liberty Drive, Boston, MA 02128, United States",02128,https://lh3.googleusercontent.com/gps-cs-s/AHVAwert_jlZdZG7T-HDNr72BIwUzz6SNwr4NS3GlAUa-jsHwIGxGecMPEMN_FZjtJIP2EgjPmUhRQ9gTyhMSlUF4Wcb9l9qI_sPDalK4wIrO68q8mi-t1P9QUalhSlGb2zHqWxCDUN3=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepTNYbrdU_TohSe6GW5E_0XdnGnlZqBciU-0COq3d4QuIs1Sh_dxBG9Qvoy33x0mqTrykfG7s90txKra6IW4pDbWeUpPNWIDLQXrIWFtnaEY8J99zULlLIp129HdFPFp42L8lsuuD_Xgsdx=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no
George Howell Coffee,BOS-EB-107,42.3702822,-71.0552112,"500 Terminal Dr, Boston, MA 02128, United States",02128,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5zsjA0OJiaDtf942euG03FppUk6OcH6iEhTY_wLCvICWfM25qLhdtD6v0ZB3Wlq6J94-aitVKMsXg3OAmsIhyIEpswBj4iJxXjMx11wy4gVAYyzCEML0cupHXB2whxTUPnilPFQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwert_jlZdZG7T-HDNr72BIwUzz6SNwr4NS3GlAUa-jsHwIGxGecMPEMN_FZjtJIP2EgjPmUhRQ9gTyhMSlUF4Wcb9l9qI_sPDalK4wIrO68q8mi-t1P9QUalhSlGb2zHqWxCDUN3=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no
Thinking Cup,BOS-EB-108,42.3632767,-71.091235,"236 Hanover St, Boston, MA 02113, United States",02113,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepGSeJpmF-VNU2TnFZgWMWrjPJ2i2TaAp8RiBEZBjTwvyJx1YohuHMwi1u8lOOPnYYgjWCwufQMSNrn_A5Zyy1Wa9T0FQsp4R97NIm00ZNOeqxi2tkMmBpQYzOq_8BSqQeXwm5R=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5zsjA0OJiaDtf942euG03FppUk6OcH6iEhTY_wLCvICWfM25qLhdtD6v0ZB3Wlq6J94-aitVKMsXg3OAmsIhyIEpswBj4iJxXjMx11wy4gVAYyzCEML0cupHXB2whxTUPnilPFQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no
Ogawa Coffee,BOS-EB-109,42.3632767,-71.091235,"10 Milk St, Boston, MA 02108, United States",02108,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerusPEq_3xUYVun7POOchQuzWktYlPo0qcxIQNG9DMeAguB9vP8KZ_UB6l3AZqCGPAoIbWqmZlFLLsPZqGZjog9g6V-jRaY3io4JC179_3G7dqAg2a1b5AdvLaFx9hG4MvYIgw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepGSeJpmF-VNU2TnFZgWMWrjPJ2i2TaAp8RiBEZBjTwvyJx1YohuHMwi1u8lOOPnYYgjWCwufQMSNrn_A5Zyy1Wa9T0FQsp4R97NIm00ZNOeqxi2tkMmBpQYzOq_8BSqQeXwm5R=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no
Tatte Bakery & Cafe | Pier 4,BOS-EB-110,42.3632767,-71.091235,"200 Pier 4 Blvd., Boston, MA 02210, United States",02210,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepIlav2iUFsS7oA-VQonYJLkwSCxAjTcrxvDN3njPbOHZbbOw0DAolewyEO2zUHBMkEH2c_9RfgQJGuhBr22GHjWiBxG-GAi_RKi9Xbjkx1du3BK06XiFCKUWD6DiOgo60vCFE=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerusPEq_3xUYVun7POOchQuzWktYlPo0qcxIQNG9DMeAguB9vP8KZ_UB6l3AZqCGPAoIbWqmZlFLLsPZqGZjog9g6V-jRaY3io4JC179_3G7dqAg2a1b5AdvLaFx9hG4MvYIgw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqAKUsBs0ra91v_eLmab5gn_4YzYsiS6Jj5SqSADlujCzD-kTP7EhfJvyV1my6Q1UfHY2pYn1hfjX5oavySXneBYFsY2BwhLgOi80m5D_ZtIoSYZzGGl0-WlMnUYQXrN-YLj8s=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkV7aIVUX2bVsuM93JbbAM07eI_YP9bLdrq5q5RxEiY24iHP9ZM4LcJjKCE4qJW-_pQgXDHe7hkCrPe7W5J5_ZbUkK3tDfo8Tz3LkNxM2w0lauH25ZjnOI1zMMrO4_JKstKg0j=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJC2kYRKJnPuBOuKrjaZvXg8rldrs4xKJ1CogbD7JgxrS6Ylj9YzFDoB4FoQZzFSVwV4LuZEFEkSOrWRxA1eIvuRZyqNlKINuL3DKl2ddlRSWELSTZg_UCTVDfTkB002QITG1t=w86-h114-k-no
