Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Evenza cafe,AMD-GKL-101,23.0463226,72.5270934,", Ground Floor, Nr Gurukul, 03, Sankalp square, Drive In Rd, Ahmedabad, Gujarat 380052",380052
Delicious Restro Cafe,AMD-GKL-103,23.0527192,72.5239825,", Shop no - 110, Sanskrit galleria, Gurukul Rd, nr. Subhash Chowk, Tarun Nagar Part 2, Memnagar, Ahmedabad, Gujarat 380052",380052
DOWNTOWN CAFE AND SNOOKER,AMD-GKL-104,23.0461214,72.5249208,", basement, Heritage Plaza, Gurukul Rd, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052",380052
Rangoli Ice Cream Cafe Gurukul Ahmedabad,AMD-GKL-113,23.052626,72.5244243,", A-05 , Sanskrit Galleria, b/h hanuman temple , subhash chawk, Gurukul Rd, Memnagar, Ahmedabad, Gujarat 380052",380052
Cafe Where We Meet,AMD-GKL-118,23.0460644,72.5283145,", 10, Drive In Rd, Abhinav Colony, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052",380052
Gurukul Dosa House,AMD-GKL-120,23.0537655,72.5250027,", A/1 neelam park society, opp chinmay tower , Subhash chowk, Gurukul Rd, Memnagar, Ahmedabad, Gujarat 380052",380052
Cafe Da Dhaba,AMD-GKL-122,23.0396316,72.522814,", Gurukul Rd, Gurukul, Ahmedabad, Gujarat 380052",380052
Roastery Cultúr - The Coffee Company,AMD-GKL-123,23.0349539,72.5125115,", 41 Spring Field Row House, Judges Bunglow Rd, near Amul Auda Garden, Bodakdev, Ahmedabad, Gujarat 380054",380054
The Vegan Kitchen,AMD-GKL-124,23.0475178,72.5176145,", 2nd Floor, Drive In Rd, near Reliance Smart, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380054",380054
Neelam Sandwich & Pizza,AMD-GKL-125,23.0478343,72.5248316,", G2, 45, Gurukul Rd, near Olway House, Memnagar, Ahmedabad, Gujarat 380052",380052
Coffee Shop,AMD-GKL-126,23.0473029,72.5183458,", 2GWG+WWQ, Drive In Rd, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380054",380054
Mr.Kutchhi Gurukul road,AMD-GKL-128,23.0469539,72.5247569,", G-8, Gurukul Rd, opp. Oxford Tower, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052",380052
Cafe Bollywood,AMD-GKL-129,23.0401068,72.5229003,", Alpha One Mall, Sarkari Vasahat Road, Gurukul, Ahmedabad, Gujarat 380054",380054
Choice Snack Bar (Gurukul),AMD-GKL-130,23.0525371,72.5288655,", G-1, YASH ARIAN, Swami Vivekanand Cir, nr. Subhash Chowk, Bhuyangdev Society, Gurukul, Ahmedabad, Gujarat 380052",380052
Quick Bite,AMD-GKL-131,23.0460884,72.5206489,", Sunrise Shopping center, Drive In Rd, near Asia School, opp. Drive In Cinema, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380054",380054
"Keventers - Gurukul, Ahemdabad",AMD-GKL-134,23.0524911,72.5293996,", Shop No. 19, YASH ARIAN, Swami Vivekanand Cir, Bhuyangdev Society, Memnagar, Ahmedabad, Gujarat 380052",380052
EAT PUNJAB,AMD-GKL-136,23.0454031,72.5212914,", Ff 102, shilp square, Gurukul Rd, opp. himalaya mall, Bodakdev, Ahmedabad, Gujarat 380052",380052
Momento Cafe,AMD-GKL-142,23.0454954,72.4830242,", nr. Himalaya Mall, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380054",380054
Papa Louie's Pizza - Drive In,AMD-GKL-143,23.0458528,72.5215191,", 1st Floor Shilp Square A Opp Himalaya Mall, Drive In Rd, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380052",380052
Mumbai fresh vadapav,AMD-GKL-148,23.0582423,72.5244842,", 3G5M+699 The H B Kapadia New High School, Gurukul Rd, Visharam Nagar, Ghatlodiya, Memnagar, Ahmedabad, Gujarat 380052",380052
Atul Bakery | Raju Complex | Memnagar | Ahmedabad,AMD-GKL-149,23.047741,72.5248499,", Shop No. 5, Raju Complex, Gurukul Rd, Memnagar, Ahmedabad, Gujarat 380052",380052
Kabhi B Bakery - Gurukul,AMD-GKL-160,23.0571157,72.5249668,", Vishramnagar, Garden, Gurukul Rd, beside Shyamnagar society, Memnagar, Ahmedabad, Gujarat 380052",380052
Rite Bites,AMD-GKL-161,23.0462173,72.5280562,", 2, Drive In Rd, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052",380052
Dinner Bell 2,AMD-GKL-162,23.0525654,72.5259359,", 1st Atlantis Enclave Swami Vivekanand Marg, Gurukul Rd, above Bank of Baroda & YES Bank, Memnagar, Ahmedabad, Gujarat 380052",380052
Mayur Bhajiya,AMD-GKL-174,23.0465253,72.5208529,", LL 33, Indraprasth Tower, Drive In Rd, Nilmani Society, Gurukul, Ahmedabad, Gujarat 380052",380052
