Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
Green T Coffee Shop - Rozzie,BOS-HP-101,42.2889392,-71.2781328,"873 South St, Roslindale, MA 02131, United States",02131,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKAtM2bcsMqfx4acKTG95STgXE3hbc495bkaBtnm9gMj_mUTq4i0np45-2vbsvfDwq2YwZpCDNHQki3AgxjT0FGLpbzK1kT43qmbQB_cu_xtiMzsoooo912cCvMESS476O5oc5=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyjdfQfIUzjfqOBSYx_PdNiemRGDMGCNYLFQcPmGknxxeKMno8kjGxUhdW-vMe70ygSPOcfCzVLCn-UrqAUikcajYZ4r_ors-D_8rlm4zQ9W-Im9uQrsGpvygb-Yeo9YisRUIu_g=w114-h86-k-no
Recreo Coffee & Roasterie,BOS-HP-102,42.2889392,-71.2781328,"1876 Centre St, West Roxbury, MA 02132, United States",02132,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKAtM2bcsMqfx4acKTG95STgXE3hbc495bkaBtnm9gMj_mUTq4i0np45-2vbsvfDwq2YwZpCDNHQki3AgxjT0FGLpbzK1kT43qmbQB_cu_xtiMzsoooo912cCvMESS476O5oc5=w114-h86-k-no
Essence of Thyme Cafe and Gift Shop,BOS-HP-103,42.2889392,-71.2781328,"1300 Hyde Park Ave, Hyde Park, MA 02136, United States",02136,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKAtM2bcsMqfx4acKTG95STgXE3hbc495bkaBtnm9gMj_mUTq4i0np45-2vbsvfDwq2YwZpCDNHQki3AgxjT0FGLpbzK1kT43qmbQB_cu_xtiMzsoooo912cCvMESS476O5oc5=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
Dunkin',BOS-HP-104,42.2889392,-71.2781328,"1200 Hyde Park Ave, Hyde Park, MA 02136, United States",02136,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqV3UgeUSlMcAUulANH6jJoyC8pkESwT67Eq5i9pQnpvlkcT-bPvOT29g8IpeUq-t6wFqNQtZ9n8h-L-qCe_Cp1FmXaMlgYo63C4nYex0t9m6N8GLBxVnUERRawAHKzRruVcmt7=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerKAtM2bcsMqfx4acKTG95STgXE3hbc495bkaBtnm9gMj_mUTq4i0np45-2vbsvfDwq2YwZpCDNHQki3AgxjT0FGLpbzK1kT43qmbQB_cu_xtiMzsoooo912cCvMESS476O5oc5=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
Heidi’s House of Coffee,BOS-HP-105,42.2889392,-71.2781328,"350 Longwood Ave, Boston, MA 02215, United States",02215,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqeA_1yjxNlVcdROAjgAre_dM0G18MexxmjPquIQCUdtyuDctsgdm1P-_7HHni_oU7GDu3u80r596puxYsjj43r-h4WlypV9mISfMsukkBLx6mQhXYRmjmR4A2226lExeqxxIXQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqV3UgeUSlMcAUulANH6jJoyC8pkESwT67Eq5i9pQnpvlkcT-bPvOT29g8IpeUq-t6wFqNQtZ9n8h-L-qCe_Cp1FmXaMlgYo63C4nYex0t9m6N8GLBxVnUERRawAHKzRruVcmt7=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
Public Coffee Co.,BOS-HP-106,42.2889392,-71.2781328,"182 Hyde Park Ave, Boston, MA 02130, United States",02130,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFhDC17y1jomZqWk2E4R97BkKOA6QECNLYqI29UZXBSEQXTNRA6orosamZQv2ahxWGOaypD3y9doGkr-PsXwc47YOVqUoMxPORmEV_8fSsUDrgHSui1cVsukSSMCllGvbX4rc=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqeA_1yjxNlVcdROAjgAre_dM0G18MexxmjPquIQCUdtyuDctsgdm1P-_7HHni_oU7GDu3u80r596puxYsjj43r-h4WlypV9mISfMsukkBLx6mQhXYRmjmR4A2226lExeqxxIXQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
Starbucks Coffee Company,BOS-HP-107,42.2889392,-71.2781328,"75 Spring St, West Roxbury, MA 02132, United States",02132,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepzMLzUN0f9FGOTs6Gl-nGS40P6suLbNqqd7YdIvQ-9eEZX3ZFJ_MeuTMOqGbIvRN9WILMg6LiE9kWoZxKML2urDHF_wghGKo9g1TBYaiA0VqJRaqOxGKK53UaepcACUZK2OgU=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFhDC17y1jomZqWk2E4R97BkKOA6QECNLYqI29UZXBSEQXTNRA6orosamZQv2ahxWGOaypD3y9doGkr-PsXwc47YOVqUoMxPORmEV_8fSsUDrgHSui1cVsukSSMCllGvbX4rc=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
Madhouse Cafe,BOS-HP-108,42.2889392,-71.2781328,"24 Blue Hill Ave, Boston, MA 02119, United States",02119,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqa5l9LRs4yrTUqRxr44vhuw2TaNI9-Zxplp0JnSJ-2EPGSneA_G5-rw0x2gxNoZ5uxhQU_wU8FE0i45h0ngGfa157VoLGlhLfAuDkrfHjFjg2iwUBU-SoJJZ1QqF_xCx07MPtkQw527lk=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwepzMLzUN0f9FGOTs6Gl-nGS40P6suLbNqqd7YdIvQ-9eEZX3ZFJ_MeuTMOqGbIvRN9WILMg6LiE9kWoZxKML2urDHF_wghGKo9g1TBYaiA0VqJRaqOxGKK53UaepcACUZK2OgU=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
BON! Specialty Coffee,BOS-HP-109,42.3577292,-71.2069258,"22 Beacon St, Boston, MA 02108, United States",02108,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer3KuAynpnzf0lTutX0f4Ggc_DkKVXCd4lD7rbXC74-ZpLPc-JRlnvN3SggmxV6sIwmgFlPtx5-yiy7ot0iwcZti1Q6P-QO-zURXsPbpcFaoaInf6N87AAJWrDb0JdWipTqW_Q=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqa5l9LRs4yrTUqRxr44vhuw2TaNI9-Zxplp0JnSJ-2EPGSneA_G5-rw0x2gxNoZ5uxhQU_wU8FE0i45h0ngGfa157VoLGlhLfAuDkrfHjFjg2iwUBU-SoJJZ1QqF_xCx07MPtkQw527lk=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
Green Haus Cafe,BOS-HP-110,42.3577292,-71.2069258,"1520 Tremont St, Boston, MA 02120, United States",02120,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOfsC7ac9V8u8J_YU6NTZXsf_tLcW9fV75wPb0KSS4KL0VP3MdGN6ANN5CV23kjnPbfU4SXDSPSF1KG2ikO0fIWIEa8UyKaWi8opId6O76hVEdK4Y1V1_7dnd2CaiytIxXAyCH3ZyMN5YL=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwer3KuAynpnzf0lTutX0f4Ggc_DkKVXCd4lD7rbXC74-ZpLPc-JRlnvN3SggmxV6sIwmgFlPtx5-yiy7ot0iwcZti1Q6P-QO-zURXsPbpcFaoaInf6N87AAJWrDb0JdWipTqW_Q=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLWGHpOflivTJm4dPFOOZsmZC0WwyFAq05zIgvQBCDfKfw8Qxq3tcWO-FbqbczYq6vxJP5VfLXh1jKfE6UvR1a6r_tkuFu7Qbcykp_VsABIdOizeqklFjEneVi73yj7kozGmw=w114-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwequ36UnujiqqUt0bZp1ZxSh-Ytdwe10YXSEcSoZ4eZMtjxwTX5yzdXx7lZ-caQxXLlV61P3ksyf6QDQWYRDjZkF7-IOwVX45DK_o1m5n0ZrU8C_LUck3zRGtrYBXaYcovPtKU_O=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweprhV-RMLiOvn0M4C6RA6DaaU_s6ArTy2RslLE-y0y7e23UrZfD0YeWDjQ17OW2nSCqv9dDwryLuQWYtRD1XZn7pDSbE9qpRg3g0-wLedfZWHxMXWcD_to6af7dG6KIWguVkCZj=w86-h114-k-no
