Name,Shop Code,Latitude,Longitude,Full Address,Pincode
La Quench - The Rooftop Cafe,AMD-MNR-101,22.9960723,72.5953176,", Second floor, Ganesh Bhuvan, Jawahar Chowk Road, near Ghadiyali Complex, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
13 Coco & Coffee Bar,AMD-MNR-102,22.9960723,72.5953176,", Second floor, Ganesh Bhuvan, Jawahar Chowk Road, near Ghadiyali Complex, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
Theka Cafe Maninagar,AMD-MNR-103,22.9960723,72.5953176,", Vaibhav Laxmi Park, Shop no.1 chandramani apartment 45- jagahbhai, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
blue bottle cafe,AMD-MNR-104,23.0047238,72.5966255,", Kankaria, Ahmedabad, Gujarat 380008",380008
The Yard,AMD-MNR-105,22.9977464,72.6076519,", 4, Maningar East, Ahbab Nagar, Maninagar East, Khokhra, Ahmedabad, Gujarat 380008",380008
Charlie The Coffee Junction,AMD-MNR-106,22.9977464,72.6076519,", 4, Maningar East, Ahbab Nagar, Maninagar East, Khokhra, Ahmedabad, Gujarat 380008",380008
Chai Wai,AMD-MNR-107,22.9962394,72.5952604,", 13, Balvatika, Bhagyanagar Society, Maninagar, Ahmedabad, Gujarat 380008",380008
Brother's Cafe,AMD-MNR-108,22.9962394,72.5952604,", 10 Krishna Kanan Complex Besides HDFC Bank , Nr, Cross Rd, Krishna Baug, Maninagar, Ahmedabad, Gujarat 380008",380008
Honey’s Cafe & Snooker,AMD-MNR-109,22.9962394,72.5952604,", Basement of, Shivnandan Complex, Jai Hind Char Rasta, Radhavallabh Colony, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008",380008
Lijjat Khaman House,AMD-MNR-110,23.0024776,72.5899781,", Rambaug Kankariya Rd, opposite Kankariya, Prankunj Society, Kankaria, Maninagar, Ahmedabad, Gujarat 380028",380028
"The Shake Maker, Maninagar",AMD-MNR-111,23.0024776,72.5899781,", Shop no.1, Mahalaxmi corner, opp. Shri Sai Ambulance service, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Sunny’s momo cafe/Momo king,AMD-MNR-112,22.9950163,72.5973336,", Meena shopping centre, sellar-5, opposite durga school, nr. just dogs, Maninagar, Ahmedabad, Gujarat 380008",380008
"Danny's coffee bar, Maninagar",AMD-MNR-113,22.9950163,72.5973336,", Meena shopping centre, sellar-5, opposite durga school, nr. just dogs, Maninagar, Ahmedabad, Gujarat 380008",380008
The chocolate room,AMD-MNR-114,22.9950163,72.5973336,", Shop 5, Hospital, Mahalxmi Corner, opp. Sardar Chimabhai Patel Marg, Balvatika, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Shambhu's Coffee Bar,AMD-MNR-115,22.9950163,72.5973336,", 102 First Floor, Kesarkunj Complex, Krishna Baug, Maninagar, Ahmedabad, Gujarat 380008",380008
Sip Station Best Cafe in Maninagar Ahmedabad,AMD-MNR-116,23.0033889,72.5869788,", 3 Ranchhod rai society near gordhanwadi bus stop, Kankaria, Ahmedabad, Gujarat 380022",380022
Tea Post,AMD-MNR-117,22.9950162,72.5944629,", G- 4, Shivani Complex, Jawahar Chowk, Balvatika, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",380008
KL 11 Cafe,AMD-MNR-118,23.003498,72.5987084,", Shop no 15 Harikrupa shopping center, Punit Maharaj Rd, Maninagar, Ahmedabad, Gujarat 380008",380008
Gajanand Pauva House Maninagar,AMD-MNR-119,23.003498,72.5987084,", Shop no 15 Harikrupa shopping center, Punit Maharaj Rd, Maninagar, Ahmedabad, Gujarat 380008",380008
