Name,Shop Code,Latitude,Longitude,Full Address,Pincode
La Quench - The Rooftop Cafe,AMD-MNR-101,22.9960723,72.5953176,", Second floor, Ganesh Bhuvan, Jawahar Chowk Road, near Ghadiyali Complex, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
13 Coco & Coffee Bar,AMD-MNR-102,23.0051669,72.596519,", 7, Radhe Tower, Opp Hotel G Express, Outside Kankaria Lake Gate. 5, Maninagar, Ahmedabad, Gujarat 380008",380008
The Yard,AMD-MNR-105,22.9977464,72.6076519,", 4, Maningar East, Ahbab Nagar, Maninagar East, Khokhra, Ahmedabad, Gujarat 380008",380008
Charlie The Coffee Junction,AMD-MNR-106,22.9950782,72.5957532,", Jawahar Chowk, brts stop, 101 soham plazaa, Nirant Cross Rd, Ahmedabad, Gujarat 380008",380008
Lijjat Khaman House,AMD-MNR-111,23.0024776,72.5899781,", Rambaug Kankariya Rd, opposite Kankariya, Prankunj Society, Kankaria, Maninagar, Ahmedabad, Gujarat 380028",380028
Sunny’s momo cafe/Momo king,AMD-MNR-113,22.9950163,72.5973336,", Meena shopping centre, sellar-5, opposite durga school, nr. just dogs, Maninagar, Ahmedabad, Gujarat 380008",380008
Sip Station Best Cafe in Maninagar Ahmedabad,AMD-MNR-117,23.0033889,72.5869788,", 3 Ranchhod rai society near gordhanwadi bus stop, Kankaria, Ahmedabad, Gujarat 380022",380022
Tea Post,AMD-MNR-118,22.9950162,72.5944629,", G- 4, Shivani Complex, Jawahar Chowk, Balvatika, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",380008
KL 11 Cafe,AMD-MNR-119,23.003498,72.5987084,", Shop no 15 Harikrupa shopping center, Punit Maharaj Rd, Maninagar, Ahmedabad, Gujarat 380008",380008
Gajanand Pauva House Maninagar,AMD-MNR-120,22.9981843,72.5929382,", Police Station, Rajvi Complex, G-5, Lala Lajpat Rai Marg, opposite Rambaug, Krishna Baug, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
VEERE DE PARATHE,AMD-MNR-121,23.0053442,72.596483,", Radhe Tower, 5, opp. JALDHARA WATER PARK, nr. Kankaria Road, Kankaria, Maninagar, Ahmedabad, Gujarat 380008",380008
The Puff House,AMD-MNR-122,22.9969956,72.5978117,", G-3, Kamal Apartment, near Maninagar Cross Road, Balvatika, BRTS, Maninagar, Ahmedabad, Gujarat 380008",380008
Waffle Castle Ahmedabad (Maninagar),AMD-MNR-123,23.0030376,72.5864875,", Ground Floor 2, Bhartiya Nagar Society, 1, Gordhanwadi Cross Rd, near kankaria, opposite Hira anand complex, Pushpkunj, Maninagar, Ahmedabad, Gujarat 380022",380022
The Moka Pot Coffee Stall,AMD-MNR-126,22.9948488,72.6017196,", Charotar Society, Maninagar Cross Rd, opp. Swaminarayan Mandir, Charotar Patel Society, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008",380008
THE WAFFLE CO.(MANINAGAR),AMD-MNR-127,22.9954743,72.5912562,", Bhairavnath Rd, Patel Society, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Freddy's,AMD-MNR-128,22.9955742,72.5907512,", Shop no-4, Shree, Rambagh, Gopal chowk, Ahmedabad, Gujarat 380008",380008
Mom’s Cafe Maninagar,AMD-MNR-130,22.995543,72.5978651,", Near, Durga School Rd, next to Tapan puff, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
Dr. joos cafe,AMD-MNR-131,22.9955052,72.5909155,", shop 6,7 ground, Krishna Avenue, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Kanchiipuram (Maninagar),AMD-MNR-132,22.9967377,72.6029242,", Moscow Building, Punit Maharaj Rd, below Hotel, opp. Maninagar Railway Station Road, Maninagar, Ahmedabad, Gujarat 380008",380008
"Theobroma Bakery and Cake Shop - Maninagar, Ahmedabad",AMD-MNR-134,22.9951551,72.5916395,", Shop No- 06, Ground Floor, Shreekar Avenue, beside Shreekar Avenue, Vallabhhwadi, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",380008
DEVI S COFFEE CLUB,AMD-MNR-135,22.9932959,72.6054588,", Gf, Annanya Apartment, Jashoda Nagar Rd, Mahalaxmi Colony, Maninagar East, Maninagar, Ahmedabad, Gujarat 380008",380008
Bhagyawati Chula Dosa-Maninagar,AMD-MNR-136,22.9998525,72.5973659,", Shop No.1/2, Dipakruti Apartment, opposite L.G. Ground, near LG Hospital Road, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
Buzzz cafe,AMD-MNR-138,22.9897696,72.5964147,", Buzzz Cafe , Shop No - 3, Karnavati Appartment, Nr Hirabhai tower, Uttamnagar, Maninagar. Ahmedabad 380008 Ahmdabad, Gujarat 380008",380008
Barbecue Culture Maninagar,AMD-MNR-142,22.9954103,72.5960427,", First Floor, Empire Creat, BRTS Bus Stand, opp. Jawahar Chowk, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
Mad over grills (Maninagar),AMD-MNR-145,23.0012421,72.5905102,", 1st FLOOR, 2H2X+HRJ SIGMA ESQUIRE, 21, Pushpkunj Rd, above DOMINO'S PIZZA, Prankunj Society, Krishnakunj Society, Maninagar, Ahmedabad, Gujarat 380028",380028
Nature Velly,AMD-MNR-146,22.9950138,72.5949049,", Ground floor shop no 10, Shivani Avenue, Jawahar chock, below laxmi hospital, Balvatika, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",380008
