Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Theka Cafe Maninagar,AMD-MNR-101,23.0013133,72.585233,", Vaibhav Laxmi Park, Shop no.1 chandramani apartment 45- jagahbhai, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
"Danny's coffee bar, Maninagar",AMD-MNR-102,23.0013133,72.585233,", Rajvi Complex, Lala Lajpat Rai Marg, near Vipul Dudhiya Sweets, Krishna Baug, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Tea Post,AMD-MNR-103,23.0013133,72.585233,", G- 4, Shivani Complex, Jawahar Chowk, Balvatika, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",380008
Shambhu's Coffee Bar,AMD-MNR-104,23.0013133,72.585233,", 102 First Floor, Kesarkunj Complex, Krishna Baug, Maninagar, Ahmedabad, Gujarat 380008",380008
The chocolate room,AMD-MNR-105,23.0013133,72.585233,", 102 First Floor, Kesarkunj Complex, Krishna Baug, Maninagar, Ahmedabad, Gujarat 380008",380008
Chai Wai,AMD-MNR-106,23.0013133,72.585233,", 13, Balvatika, Bhagyanagar Society, Maninagar, Ahmedabad, Gujarat 380008",380008
Brother's Cafe,AMD-MNR-107,23.0013133,72.585233,", 10 Krishna Kanan Complex Besides HDFC Bank , Nr, Cross Rd, Krishna Baug, Maninagar, Ahmedabad, Gujarat 380008",380008
La Quench - The Rooftop Cafe,AMD-MNR-108,23.0013133,72.585233,", Second floor, Ganesh Bhuvan, Jawahar Chowk Road, near Ghadiyali Complex, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
"The Shake Maker, Maninagar",AMD-MNR-109,23.0013133,72.585233,", Shop no.1, Mahalaxmi corner, opp. Shri Sai Ambulance service, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Honey’s Cafe & Snooker,AMD-MNR-110,23.0013133,72.585233,", Basement of, Shivnandan Complex, Jai Hind Char Rasta, Radhavallabh Colony, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008",380008
Cozy cafe,AMD-MNR-111,23.0013133,72.585233,", Jawahar Chowk, bus stop, 243, 244 Nr, Prakash Nagar, Maninagar, Ahmedabad, Gujarat 380008",380008
DEVI S COFFEE CLUB,AMD-MNR-112,22.9932959,72.5964466,", Gf, Annanya Apartment, Jashoda Nagar Rd, Mahalaxmi Colony, Maninagar East, Maninagar, Ahmedabad, Gujarat 380008",380008
Dr. joos cafe,AMD-MNR-113,22.9955052,72.5819033,", shop 6,7 ground, Krishna Avenue, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Break Point,AMD-MNR-114,22.9955052,72.5819033,", Utsav Complex, beside HDFC Bank, near Maninagar Cross Road, Balvatika, Maninagar, Ahmedabad, Gujarat 380008",380008
KL 11 Cafe,AMD-MNR-115,22.9955052,72.5819033,", Shop no 15 Harikrupa shopping center, Punit Maharaj Rd, Maninagar, Ahmedabad, Gujarat 380008",380008
Burger mania Maninagar,AMD-MNR-116,22.9955052,72.5819033,", XJV3+3PF, Uttamnagar Garden Rd, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008",380008
Winny cafe | The Best Cafe in Isanpur,AMD-MNR-117,22.9791745,72.5902816,", GF 15, Empire Heights, Mangleshwar Mahadev Rd, opp. Sahyadri Bungalows, New Arti Society, Tulsikunj, Prakash Nagar, Ghodasar, Ahmedabad, Gujarat 380050",380050
deli2go,AMD-MNR-118,22.9921373,72.5856143,", XJR3+VF2, Manav Purusharth Society, Archana Society, Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008",380008
Charlie The Coffee Junction,AMD-MNR-119,22.9921373,72.5856143,", Jawahar Chowk, brts stop, 101 soham plazaa, Nirant Cross Rd, Ahmedabad, Gujarat 380008",380008
TGB CAFE 'n BAKERY,AMD-MNR-120,22.9921373,72.5856143,", Jawahar Chowk, brts stop, 101 soham plazaa, Nirant Cross Rd, Ahmedabad, Gujarat 380008",380008
Collegian Cafe,AMD-MNR-121,23.0020442,72.571282,", Shree Swaminarayan Arts College, Shree Swaminarayan College Campus, Besides, near Shree Swaminarayan Arts College, Bhavna Colony, Behrampura, Ahmedabad, Gujarat 380028",380028
THE WAFFLE CO.(MANINAGAR),AMD-MNR-122,22.9954743,72.582244,", Bhairavnath Rd, Patel Society, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Waffle Castle Ahmedabad (Maninagar),AMD-MNR-123,22.9954743,72.582244,", Bhairavnath Rd, Patel Society, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
PJ's Flavours Cafe - Breadman Bakery,AMD-MNR-124,22.9954743,72.582244,", Badrikashram, opposite Suvarnkala Jewellery Showroom, Charrasta, Maninagar, Ahmedabad, Gujarat 380008",380008
Pooja Bhajipav Restaurant,AMD-MNR-125,22.9954743,72.582244,", XJR4+244, Chief Housing Society, Uttamnagar, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008",380008
blue bottle cafe,AMD-MNR-126,22.9954743,72.582244,", Kankaria, Ahmedabad, Gujarat 380008",380008
Urban Zykaa,AMD-MNR-127,22.9954743,72.582244,", Saffron Building, Maninagar Rd, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Cheeze adda cafe,AMD-MNR-128,22.9954743,72.582244,", Saffron Building, Maninagar Rd, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Chocolaty Chai,AMD-MNR-129,22.9954743,72.582244,", Lotus School, Patel Hall, Isanpur Rd, behind H.L, near Lalita society, Jaymala, Isanpur, Ahmedabad, Gujarat 382443",382443
Crust cafe,AMD-MNR-130,22.9714178,72.5965127,", shop number 8, house and shopping center, Smruti Mandir Rd, nr. vandevi bungalows, Ghodasar, Ahmedabad, Gujarat 380050",380050
Hocco Eatery (Maninagar),AMD-MNR-131,23.0005148,72.5825162,", bus stop, Shivalik 7 building ground floor near rambag brts, Rambaug Rd, Jagabhai Park, Maninagar, Ahmedabad, Gujarat 380008",380008
SAMOSA & CO,AMD-MNR-132,23.0005148,72.5825162,", Maninagar, 1, opp. Rambaug Brts Stand, Swaminarayan Colony, Maninagar, Ahmedabad, Gujarat 380028",380028
Sip Station Best Cafe in Maninagar Ahmedabad,AMD-MNR-133,23.0005148,72.5825162,", 3 Ranchhod rai society near gordhanwadi bus stop, Kankaria, Ahmedabad, Gujarat 380022",380022
FOOD SHALA,AMD-MNR-134,23.0005148,72.5825162,", 3 Ranchhod rai society near gordhanwadi bus stop, Kankaria, Ahmedabad, Gujarat 380022",380022
City Corner,AMD-MNR-135,23.0005148,72.5825162,", Rajkamal Complex, 1, Lala Lajpat Rai Marg, opposite Swaminarayan Mandir, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Sankalp Restaurant,AMD-MNR-136,23.0005148,72.5825162,", Hariom Complex, Ground Floor, Near, Nirant Cross Rd, Krishna Baug, Maninagar, Ahmedabad, Gujarat 380008",380008
TST - The Southern Table Co.,AMD-MNR-137,23.0005148,72.5825162,", Hariom Complex, Ground Floor, Near, Nirant Cross Rd, Krishna Baug, Maninagar, Ahmedabad, Gujarat 380008",380008
9834 The Fruit Truck Ahmedabad (Maninagar),AMD-MNR-138,23.0005148,72.5825162,", Police Station, GF-2, HJ House, beside Maninagar, Rambagh, Maninagar, Ahmedabad, Gujarat 380008",380008
Tanglewood Coffee and Beverages,AMD-MNR-139,23.004139,72.5719263,", Bhavna Colony, Behrampura, Ahmedabad, Gujarat 380022",380022
Hitek Computer Technology,AMD-MNR-140,22.9979127,72.5900041,", 1, VP Mehta Rd, Balvatika, Maninagar East, Maninagar, Ahmedabad, Gujarat 380008",380008
