Name,Shop Code,Latitude,Longitude,Full Address,Zip Code,Images
Flat Black Coffee,BOS-MAT-101,42.272397,-71.1404794,"1170 Washington St, Dorchester Center, MA 02124, United States",02124,
Coffee Break Cafe,BOS-MAT-102,42.272397,-71.1404794,"24 Central Ave, Milton, MA 02186, United States",02186,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5kGaVGQo_Upn1ledRoMUpN9AFMJ6Q8lUoH9uJB4GivVZ8EtEbZTvm4zeBZMNlvANvlxk6ozkvekoobtXVxsTG3ISGkewSh6425bm4Va1HfIJLexvkftzs0Ocu9vr0Qe6uVG0wEQ=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoveJbGWYWUNyPMGSuUucipjjUImADAA4-80v_SPgu0DRduBiMeMqdwYBxlqKpzW59yJgGKjYA7VSDYPlmi0cTs7IE4Vicnv5kvIJOTxff9hPLJ8Y6owx8q3LsWnVBtD31hkeRe=w86-h114-k-no
Sweet Life,BOS-MAT-103,42.272397,-71.1404794,"2243 Dorchester Ave, Boston, MA 02124, United States",02124,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5kGaVGQo_Upn1ledRoMUpN9AFMJ6Q8lUoH9uJB4GivVZ8EtEbZTvm4zeBZMNlvANvlxk6ozkvekoobtXVxsTG3ISGkewSh6425bm4Va1HfIJLexvkftzs0Ocu9vr0Qe6uVG0wEQ=w86-h114-k-no
CAFE JUICEUP,BOS-MAT-104,42.272397,-71.1404794,"1290 Blue Hill Ave, Boston, MA 02126, United States",02126,
"House Of Seven Cafe & Bakery, LLC",BOS-MAT-105,42.272397,-71.1404794,"21 Clementine Park, Boston, MA 02124, United States",02124,
Ripple Cafe,BOS-MAT-106,42.272397,-71.1404794,"1906 Dorchester Ave, Boston, MA 02124, United States",02124,https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoveJbGWYWUNyPMGSuUucipjjUImADAA4-80v_SPgu0DRduBiMeMqdwYBxlqKpzW59yJgGKjYA7VSDYPlmi0cTs7IE4Vicnv5kvIJOTxff9hPLJ8Y6owx8q3LsWnVBtD31hkeRe=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5kGaVGQo_Upn1ledRoMUpN9AFMJ6Q8lUoH9uJB4GivVZ8EtEbZTvm4zeBZMNlvANvlxk6ozkvekoobtXVxsTG3ISGkewSh6425bm4Va1HfIJLexvkftzs0Ocu9vr0Qe6uVG0wEQ=w86-h114-k-no
Dunkin',BOS-MAT-107,42.272397,-71.1404794,"1621 Blue Hill Ave, Mattapan, MA 02126, United States",02126,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqV5Y_GH_DaFf4kDAtMzQv2PFUZgJyYQlfJ-Kw_0tuzpE70gL3PULA9fkLYZ6RYsNd2y7xL6qjvRJ10aJhyGY2U80IDJoVleIXzuZ7YNWnSs4eBUcBqeZF39YG_y6II2JOdDNOy=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweokly087AsVlXKssJLP7UUeFyaASfxO0awxW2o2gB7ByH9rR8nHv2KPhCCW3j5TDE0qfdaaDR66fBeC8TIVWGjrxpUTG4S3KEybkLnWfkXnVytHizMo7P87mMSmyB28jvp2Nb5ZMw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5kGaVGQo_Upn1ledRoMUpN9AFMJ6Q8lUoH9uJB4GivVZ8EtEbZTvm4zeBZMNlvANvlxk6ozkvekoobtXVxsTG3ISGkewSh6425bm4Va1HfIJLexvkftzs0Ocu9vr0Qe6uVG0wEQ=w86-h114-k-no
PS Gourmet Coffee,BOS-MAT-108,42.272397,-71.1404794,"514 Gallivan Blvd, Dorchester, MA 02124, United States",02124,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKRs5WR6HP94cI-KUA4KK_pITKCRTWrcaVSW0XCNvnIPRuHBrAbKSNxeh8858qL2UD4nHVGMLScypTj2cJios0j5-hugUu3NNweQP_29tWTRUkNFEKCc2xXYzaYcVtdO9mgKHb=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKRs5WR6HP94cI-KUA4KK_pITKCRTWrcaVSW0XCNvnIPRuHBrAbKSNxeh8858qL2UD4nHVGMLScypTj2cJios0j5-hugUu3NNweQP_29tWTRUkNFEKCc2xXYzaYcVtdO9mgKHb=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5kGaVGQo_Upn1ledRoMUpN9AFMJ6Q8lUoH9uJB4GivVZ8EtEbZTvm4zeBZMNlvANvlxk6ozkvekoobtXVxsTG3ISGkewSh6425bm4Va1HfIJLexvkftzs0Ocu9vr0Qe6uVG0wEQ=w86-h114-k-no
home.stead bakery & cafe,BOS-MAT-109,42.272397,-71.1404794,"1448 Dorchester Ave, Boston, MA 02122, United States",02122,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTAmfa5epol32H347zi20QrdAJ50tNuYIgy5qdX-JaqUr-xhqz4SaTyr_Q60hGmhfoTsv9nF3SzzMXB5DBiXJHVtfGkGGOvKzJMRGmg6EAyQCjsCKL93tiCg0rwoCo43YuEHQW=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKRs5WR6HP94cI-KUA4KK_pITKCRTWrcaVSW0XCNvnIPRuHBrAbKSNxeh8858qL2UD4nHVGMLScypTj2cJios0j5-hugUu3NNweQP_29tWTRUkNFEKCc2xXYzaYcVtdO9mgKHb=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5kGaVGQo_Upn1ledRoMUpN9AFMJ6Q8lUoH9uJB4GivVZ8EtEbZTvm4zeBZMNlvANvlxk6ozkvekoobtXVxsTG3ISGkewSh6425bm4Va1HfIJLexvkftzs0Ocu9vr0Qe6uVG0wEQ=w86-h114-k-no
Madhouse Cafe,BOS-MAT-110,42.3242702,-71.1475416,"24 Blue Hill Ave, Boston, MA 02119, United States",02119,https://lh3.googleusercontent.com/gps-cs-s/AHVAweopLdMfWNh3mxzdTxPS0qQAC1YpqdyMxMdPHdANG6BnOPu_3ZGQwrK3EWapdLOt5vxe4ZbKHa3EShPKExU7-lcO6nOh33T4vKcZIy5D6WRM30HOdSgfEf9riWK3d5q5wS9lteu4=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerTAmfa5epol32H347zi20QrdAJ50tNuYIgy5qdX-JaqUr-xhqz4SaTyr_Q60hGmhfoTsv9nF3SzzMXB5DBiXJHVtfGkGGOvKzJMRGmg6EAyQCjsCKL93tiCg0rwoCo43YuEHQW=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpRR1O5hzRhripURP1dRfAU6JpADE6zLBNXewTQZSxlqTzwmMFDt4DDbORAStgswNoq92Q8LWOwpmIHPfPY4lf6d8cw6O7TaVnY140wPENT-KcVHxgH0JvZ9hYSTGzI8inNSplbw=w86-h114-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCx26z705WD_8DsFuGaR1_EUOGRfrzuPMBnBLrvpvCUVHjtxhUN9n8tvuNYaF5oPjNb6hBLnRp9oKvel4bTVWH7Hg8YLU6C4DifsQgbTxZY52wqgI083yBeDx9OLTKYljlxrY_ZQ=w129-h86-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5kGaVGQo_Upn1ledRoMUpN9AFMJ6Q8lUoH9uJB4GivVZ8EtEbZTvm4zeBZMNlvANvlxk6ozkvekoobtXVxsTG3ISGkewSh6425bm4Va1HfIJLexvkftzs0Ocu9vr0Qe6uVG0wEQ=w86-h114-k-no
