Name,Shop Code,Latitude,Longitude,Full Address,Pincode
The Messy Door Cafe - HL College Road,AMD-NVP-101,23.0302762,72.5459062,", Ground floor, Shop no 1, Gala Business Centre, 2, HL college Road, near Reliance fresh, Navrangpura, Ahmedabad, Gujarat 380006",380006
COFFEE STAND ®-CG Road,AMD-NVP-107,23.0359215,72.552126,", Coffee Stand, Bhadra Raj Chambers, Swastik Char Rasta, Chimanlal Girdharlal Rd, Shrimali Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Mleko Specialty Coffee House and Bakery,AMD-NVP-108,23.0405582,72.5440327,", Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Shambhu's Coffee Bar,AMD-NVP-110,23.0318227,72.5462137,", H.L, Devangan Flats, 1-2, Commerce College Rd, New Commercial Mills Staff Society, Navrangpura, Ahmedabad, Gujarat 380006",380006
Coffee Stand- Vijay Cross Road,AMD-NVP-113,23.0418862,72.5402849,", 11, Supath Complex, Vijay Cross Rd, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Karma Cafe,AMD-NVP-114,23.0433594,72.5568693,", Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
Café Venture Studio,AMD-NVP-115,23.0399402,72.5449611,", Teachers Campus, A G, Shree Dada Jinanand Suri Marg, near H L College, University Area, Ahmedabad, Gujarat 380009",380009
Cafe Cuppuccino,AMD-NVP-117,23.0420076,72.5385189,", First Floor 1 - 2, Indraprastha Business House, Near, Vijay Cross Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
CHAI VAAI CAFE AHMEDABAD CG Road,AMD-NVP-118,23.0379256,72.5518132,", City Centre, Shop No 1B / 1C Princess Lane, Swastik Cross Rd, Vasna Telephone Exchange, Ahmedabad, Gujarat 380009",380009
TORITOS CAFE TIME,AMD-NVP-119,23.0372609,72.5403996,", L & P Hutheesing Visual Art Centre, near Amdavad ni Gufa, CEPT, opp. Gujarat University, Navrangpura, Ahmedabad, Gujarat 380009",380009
Prince Coffee Bar,AMD-NVP-120,23.0370311,72.5460844,", HL Institute of College, SV Desai Marg, Vasant Vihar, University Area, Ahmedabad, Gujarat 380009",380009
Darjeeling Cafe,AMD-NVP-121,23.037985,72.5540772,", Anand Managal Complex, Swastik Cross Rd, nr. Femina Town, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
D.K. Coffee Bar,AMD-NVP-123,23.0437409,72.5391125,", Metro pillar no 162, Low garden fashion street, Vijay Cross Rd, Professor's Colony, Rupam Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Cafe @49,AMD-NVP-124,23.0381586,72.5518177,", Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Starbucks,AMD-NVP-125,23.0341717,72.5461122,", Ground Floor, Manor Maxx, Unit No 1 to 3, Commerce College Rd, near St Xaviers College, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009
Second Sip Cafe,AMD-NVP-126,23.0410193,72.5439192,", Metro Station, Commerce Six Rd, opposite Falgun Society, N.K.Group Society, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
KIOSK KAFFEE,AMD-NVP-127,23.0344037,72.5455459,", Nilambar Complex, A7, HL College Road, opposite Cafe Nook, Navrangpura, Ahmedabad, Gujarat 380009",380009
Cafe Maangi,AMD-NVP-128,23.0363636,72.5575893,", Chandan Complex, Chimanlal Girdharlal Rd, beside Invogue, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Crush Coffee,AMD-NVP-129,23.0328452,72.5481571,", Shop No 02, ABC/3 CG Rd, Umashankar Joshi Marg, opposite Hotel Regenta, Sardar Patel Nagar, Navrangpura, Ahmedabad, Gujarat 380006",380006
Zen Cafe,AMD-NVP-139,23.0362682,72.5406922,", University Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
"""T"" THE CHAI & MORE",AMD-NVP-140,23.0335443,72.5493071,", Sarovar Complex, GF 4, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380006",380006
"Ajay's Cafe Vijay Cross Road, Ahmedabad",AMD-NVP-145,23.0421623,72.5406641,", Shop No - GF - 01/A, Raja Complex, nr. Vijay Char Rasta, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
HOUSE OF MEALS - CG ROAD,AMD-NVP-146,23.0355868,72.5495448,", SHOP NO. 2, Chimanlal Girdharlal Rd, opp. SANIDHYA 18, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",380009
Brewers The Coffee Bar,AMD-NVP-151,23.0484653,72.562376,", Central Business Space, A/1, opp. Sukhsagar Complex, nr. Fortune Landmark Hotel, Usmanpura, Ahmedabad, Gujarat 380009",380009
Wagh Bakri Tea Lounge,AMD-NVP-153,23.0332981,72.5461853,", Aaryan Workspaces, Ground Floor, St.Xavier's, Navrangpura, SV Desai Marg, Navrangpura, Ahmedabad, Gujarat 380006",380006
The Blue Oven,AMD-NVP-155,23.0345722,72.5523237,", Shop 21 , Municipal Market, Chimanlal Girdharlal Rd, Ahmedabad, Gujarat 380009",380009
Cg road,AMD-NVP-163,23.0299927,72.5458511,", G - 5 Onyx Complex, near reliance fresh Ahmedabad Gujarat (Onyx Complex SV Desai Marg, College road, H.L, Ahmedabad, Gujarat 380006",380006
Cafe Cuppuccino (SP Stadium Road),AMD-NVP-164,23.0380157,72.5571746,", GF-03, Nirman Complex, Metro Station, opp. Havmor Restaurant, nr. Old High Court Road, Navarangpura Gam, Navrangpura, Ahmedabad, Gujarat 380009",380009
Girish Cold Drinks,AMD-NVP-166,23.0324986,72.55125,", Ground Floor-1, Chimanlal Girdharlal Rd, near Girish cold drinks, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380006",380006
Café Coffee Day,AMD-NVP-168,23.0237622,72.5488088,", HARI OM TOWERS, Panchavati Rd, Ellisbridge, Ahmedabad, Gujarat 380006",380006
Autograph Restaurant,AMD-NVP-170,23.0375124,72.5574439,", सुपर इन्न अर्मोइसे होटल, Chimanlal Girdharlal Rd, Opposite Nirman Bhavan, Navarangpura Gam, Navrangpura, Ahmedabad, Gujarat 380009",380009
Piller cafe commerce six road Navrangpura Ahmedabad (Gujarat),AMD-NVP-171,23.0399736,72.5502567,", 2HQ5+XPJ, Commerce Six Rd, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
The Project Cafe,AMD-NVP-172,23.0248708,72.5391181,", Yellow House, 7, Tarek Mehta Marg, Ambawadi, Ahmedabad, Gujarat 380015",380015
Johnny Da Dhaba,AMD-NVP-174,23.0376201,72.5518488,", 1, Antariksh complex, Chimanlal Girdharlal Rd, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
TGB Cafe 'n Bakery - Commerce Six Road,AMD-NVP-177,23.0401503,72.5460151,", Parkash Park Society, 4, near Commerce Six Road, Girivar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Choice Snack Bar,AMD-NVP-179,23.0355077,72.5521369,", 5 yamuna complex swastik cross road, C1/2, Chimanlal Girdharlal Rd, Shrimali Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
Creamoholic café & restro,AMD-NVP-187,23.025054,72.5503819,", G S 73, Balaji alfa Bazar, 60, 61 Street, opp. Netaji Road, near GLS College, Ellisbridge, Ahmedabad, Gujarat 380006",380006
Huber & Holly (Vijay Cross Roads),AMD-NVP-188,23.0425783,72.5397933,", Shop No. 1A, Ground floor, The Link, Vijay Cross Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
Hocco Eatery (Municipal Market),AMD-NVP-189,23.0343043,72.5517839,", Shop-48, Municipal Market, Chimanlal Girdharlal Rd, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009",380009
The Daily Grind ahm,AMD-NVP-190,23.0389695,72.5435118,", Modi kindergarten CEPT, K H, Navrangpura Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
Cafe creme,AMD-NVP-194,23.0419615,72.5448603,", Cafe creme, Supath Complex, Vijay cross road, University Rd, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",380009
GiR - Desi Swad,AMD-NVP-201,23.0403364,72.5488636,", Shop No. 7, Sun Corner, Metro Station Commerce Six, Vijay Cross Rd, Navrangpura, Ahmedabad, Gujarat 380009",380009
Beyond Temptation & South Twist,AMD-NVP-202,23.0428161,72.5441221,", GF-5, The Link, Vijay Cross Rd, Four Roads, University Area, Ahmedabad, Gujarat 380009",380009
Cafe 29,AMD-NVP-204,23.0456469,72.5466374,", fire station People plaza, Vijay Cross Rd, opp. The Kalupur bank, Navrangpura, Ahmedabad, Gujarat 360008",360008
