Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Shaka,AMD-PLN-101,23.0115919,72.4872527,", The Shakahari by Awadhpuri, 101, Garden, opp. Prahlad Nagar, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
A GOURMESSERIE - PRAHLAD NAGAR,AMD-PLN-105,23.0137102,72.4991345,", Gf-2, Bayone Solutions, Regency Plaza, Prernatirth Derasar Rd, below Gloria Restaurant, Satellite, Ahmedabad, Gujarat 380015",380015
Pazz The Cafe,AMD-PLN-106,23.0074824,72.4844231,", YMCA cross road, corporate road, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380015",380015
Pizzaiiolo wood fired Prahlad Nagar,AMD-PLN-111,23.0131844,72.4965586,", Shop no 12, Dev Atelier, nr. Anandnagar Cross Road, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
Tea Taprri,AMD-PLN-112,23.0112861,72.4848422,", Shop no. GF-4, Circle P Complex, SG Hwy Service Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
Surkhi Cafe,AMD-PLN-114,23.0247025,72.4795865,", A-302, Inceptum, Maruti Road, Ambli Rd, opp. Hotel Planet Landmark, off Sarkhej - Gandhinagar Highway, Bopal, Ahmedabad, Gujarat 380058",380058
"The Shake Maker, Prahladnagar",AMD-PLN-116,23.0147531,72.4999174,", GF-17, 6, Prernatirth Derasar Rd, opp. Gloria restaurant, Vraj Vihar, Satellite, Ahmedabad, Gujarat 380015",380015
Tea Post,AMD-PLN-118,23.0121355,72.4889808,", Garden Opp Sales India, 10, Camps Corner, near Prahladnagar, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
The Mad House,AMD-PLN-145,23.0296371,72.5291177,", 1st Floor, MSK House, BRTS Stop, opp. Gulbai Tekra, Panjarapole, Ahmedabad, Gujarat 380015",380015
Annkut,AMD-PLN-147,23.0128323,72.4958721,", Ground Floor, Sanidhya A, 100 Feet Rd, near Platinum Hall, Anand Nagar, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
Third Wave Coffee,AMD-PLN-166,23.0083187,72.4891619,", Shop No. 002, Ground Floor, Corporate Rd, near Prahlad Nagar Road, Satellite, Ahmedabad, Gujarat 380015",380015
Crush Coffee - SG Highway,AMD-PLN-169,23.0245537,72.4891718,", Ground Floor, Wide Angle Multiplex, Sarkhej - Gandhinagar Hwy, Ramdev Nagar, Ahmedabad, Gujarat 380015",380015
Fruzo Coffee,AMD-PLN-170,22.9931596,72.4949027,", 21, Al Burooj, Makarba Rd, near Al Burooj, Makarba, Ahmedabad, Gujarat 380051",380051
JTB eatery,AMD-PLN-171,23.0131447,72.4923573,", FF-7, 2G76+65M Narayan Krupa Arcade, opp. Rivera 30 bunglows, Chinar Bungalows, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
Corporate Road Makkarba,AMD-PLN-172,22.9995131,72.48265,", 31five, Corporate Rd, near Palladium, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
Pure Beans & Creams Cafe,AMD-PLN-173,23.0161248,72.5198899,", GF-4, Sun Avenue One, Shyamal Cross Rd, near Shreyas Foundation, Manekbag Society, Ahmedabad, Gujarat 380015",380015
"SHAMBHUS COFFEE BAR, ANANDNAGAR",AMD-PLN-174,23.0126326,72.5011796,", 110,111, Earth Complex, 1st Floor, 109, 100 Feet Anand Nagar Rd, near Seema Hall, opposite Kanak Kala 1, Ahmedabad, Gujarat 380007",380007
Zen Cafe,AMD-PLN-175,23.0271407,72.5038085,", Satellite Rd, beside Sundervan, Panchsheel Enclave, Jodhpur Village, Ahmedabad, Gujarat 380015",380015
One27 cafe,AMD-PLN-176,23.0099945,72.4936775,", 56 flat, Anand Nagar Flats, Prahlad Nagar, Ahmedabad, Gujarat 380015",380015
Turquoise Villa Bistro & Café,AMD-PLN-177,23.028465,72.5252316,", Ground Floor, Shanay l, IIM Atira Road, near AMA, Ambawadi, Ahmedabad, Gujarat 380015",380015
Cafe En Route,AMD-PLN-178,23.0218529,72.507346,", Ground Floor, Aditya Plaza, 4, Jodhpur Cross Rd, opp. Karnvati Apartments, Jodhpur Village, Ahmedabad, Gujarat 380015",380015
