Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Cafe Connection,AMD-VSR-101,22.999999,72.5868886,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Royal Krishna’s crystal cafe,AMD-VSR-102,22.999999,72.5868886,", Om arcade, nr. Ved Arcade Mall, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418",382418
The Metro Snacks & Cafe,AMD-VSR-103,22.999999,72.5868886,", GF-3, Satva Mangal Nr. Pushpa Business Hub, Sardar Patel Ring Rd, Shiv Shanti Society, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418",382418
THE ORANGE LOTUS CAFE,AMD-VSR-104,22.999999,72.5868886,", Shop No 32, Avadh Pride, Complex, opp. Metro Pillar No 139, nr. Nirant Cross Road, Vastral, Ahmedabad, Gujarat 382418",382418
The heart cafe vastral 🫶🏻,AMD-VSR-105,22.999999,72.5868886,", Gajanan Arcade, 401, Sardar Patel Ring Rd, Vastral, Ahmedabad, Gujarat 382418",382418
CHAI SUTTA BAR VASTRAL,AMD-VSR-106,22.999999,72.5868886,", 1, satva mangalya complex, ring road, nr. Ved Arcade Mall, Shiv Shanti Society, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418",382418
Foodlife,AMD-VSR-107,22.999999,72.5868886,", 5, Parmeshvar Park society, Ganesh chock, RTO Rd, Vastral, Ahmedabad, Gujarat 382418",382418
AJAY’S CAFÉ KARNAVATI CHAR RASTA,AMD-VSR-108,22.999999,72.5868886,", SHOP NO.-17, SWAMINARAYAN PARK 1, NARAYAN CHOWK, opp. NARAYAN FARM, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418",382418
Pushp Restaurant,AMD-VSR-109,22.999999,72.5868886,", Ground Floor,Pushp Business Campus, Vastral Cross Road, Sardar Patel Ring Rd, opp. Metro Station, Vastral, Ahmedabad, Gujarat 382418",382418
crystal decor cafe,AMD-VSR-110,22.999999,72.5868886,", Sardar Patel Ring Rd, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418",382418
Aristo Cafe And Restro,AMD-VSR-111,22.999999,72.5868886,", 301 3rd Floor, Above Passport Seva Kendra, White House Opp BAPS Shri Swaminarayan Mandir, Near Shyam Shikhar Complex India Colony, Bapunagar, Ahmedabad, Gujarat 380024",380024
Dadu Cafe,AMD-VSR-112,23.0495847,72.5982472,", 2MXC+R4Q, Raspan Cross Rd, New India Colony, Nicol Gam, Nikol, Ahmedabad, Gujarat 380049",380049
THE HEART CAFE Nikol,AMD-VSR-113,23.0495847,72.5982472,", 110 SHYAM ENCLVE OPP MEVADA GREEN PARTY PLOT SHREE RAM CHOCK NAVA, Naroda, Ahmedabad, Gujarat 382330",382330
Vastral chokadi near metro station S P Ring road,AMD-VSR-114,22.9960048,72.5940951,", XMR7+XF6 SHANTINIKETAN APARTMENT-3, 0, Sardar Patel Ring Rd, opp. Podar School, nr. Vastral Road, Vastral, Ahmedabad, Gujarat 382418",382418
Ved Arcade Mall,AMD-VSR-115,22.9960048,72.5940951,", Opposite Vastral Lake, 200 Ft, Sardar Patel Ring Rd, near Metro Station, Vastral, Ahmedabad, Gujarat 382418",382418
