Name,Shop Code,Latitude,Longitude,Full Address,Pincode
Cafe Connection,AMD-VSR-101,22.999999,72.6229375,"Vastral, Ahmedabad",382418
Royal Krishna’s crystal cafe,AMD-VSR-102,22.999999,72.6229375,,382418
THE ORANGE LOTUS CAFE,AMD-VSR-103,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Robotic cafe,AMD-VSR-104,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
CHAI SUTTA BAR VASTRAL,AMD-VSR-105,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Foodlife,AMD-VSR-106,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
FARMERZ. Coffee shop,AMD-VSR-107,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
The Metro Snacks & Cafe,AMD-VSR-108,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Danny’s coffee bar,AMD-VSR-109,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
AJAY’S CAFÉ KARNAVATI CHAR RASTA,AMD-VSR-110,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
HOCCO EATERY VASTRAL,AMD-VSR-111,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Guru's World Fast Food Corner,AMD-VSR-112,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Brewera vastral,AMD-VSR-113,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
The Crown Cafe - Bistro,AMD-VSR-114,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
X-PRESS CAFE,AMD-VSR-115,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
The heart cafe vastral 🫶🏻,AMD-VSR-116,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Cheese Corner,AMD-VSR-117,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Moon lite,AMD-VSR-118,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Brothers cafe,AMD-VSR-119,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Sherdiwala,AMD-VSR-120,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
crystal decor cafe,AMD-VSR-121,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Royal rajwadi tea world,AMD-VSR-122,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Sitaram Cafe,AMD-VSR-123,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Shreeji Chaiwale Vastral,AMD-VSR-124,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Uma Cyber Zone,AMD-VSR-125,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
The Mist,AMD-VSR-126,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Hariom Sweet & Bakery,AMD-VSR-127,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
Jignasha Toast and Grill Vastral,AMD-VSR-128,22.999999,72.6229375,", Siddhivinayak Complex, Shop No.5, Ground Floor, Nirant Cross Rd, Vastral, Ahmedabad, Gujarat 382418",382418
