name,lat,lon,addr,phone,website
Cyber Cafe,23.0422876,72.5699576,,,
Chocolate Room,23.0407234,72.5485324,,,
"Barrista, Vijay 4 Roads",23.0427079,72.5494685,,,
Cafe Coffee Day,23.0312796,72.5493907,,,
Chai Gate!!!,23.0120603,72.5691606,,,
Zen Cafe,23.0362229,72.5494261,,,
Cafe Coffee Day,23.0329764,72.5600005,,+91 93776 19151,https://www.cafecoffeeday.com/
Ghandi Cold Drink House,23.0246187,72.5828928,,,
Relief Cyber Cafe,23.0263181,72.5830356,,,
chocolate room,23.0358422,72.5617312,,,
Cafe Coffee Day,23.0245018,72.5073318,,,
Nescafe,23.0371357,72.5443257,,,
Fullfills Ahmedabad,23.042429,72.5486687,G2 Yash Aqua,,
quinches,23.0416337,72.5490709,,,
uno pizza,23.042389,72.5492178,,,
The Cafe Baraco,23.0444534,72.5505062,34,,
Seva Cafe,23.0346667,72.5603703,,,
Unlocked,23.033026,72.5577346,,,
Cafe udipi richi,23.0320819,72.5600295,,,
In-Garden Cafe,23.0122064,72.5062163,,,
Udipi Cafe,23.0144058,72.565418,,,
cabana lounge,23.0355672,72.5061396,0,+919998822297,
The Cafe Date,23.034043,72.5018226,,,
Coffee Stand-CG Road,23.0360509,72.5611735,1,+919726323358,
Deshi Chulha Non-veg,23.0158336,72.5508007,,,
Bean Box Cafe,23.0451215,72.4854863,,,
Crush Culture Cafe Bar,23.0875987,72.6839578,"106, Naroda business hub, NR. New D-Mart, Naroda-dehgam road",+91 9974 973181,https://instagram.com/crush_culture_cafebar?utm_medium=copy_link
Dadu Cafe,23.0496098,72.6705415,,+91 97254 00091,https://www.instagram.com/dadu_cafe_nikol/
Starbucks,23.0319557,72.5107614,,,https://www.starbucks.in/
mocha,23.0318311,72.511298,Ground Floor 6-9,,https://www.mocha.co.in/
Plumeria Cafe,22.961352,72.4239095,,,
Authentic cafe,23.0319107,72.5883477,,,
Choco drama,23.0410761,72.5269272,,,
Stallions Cafe,23.0843166,72.4878637,,+919909909560,
The Gyan Café,23.1048411,72.5379754,,,https://thegyancafe.com
The dark roast,23.0124903,72.5033515,,,
Sambhar Cafe,23.0334428,72.4370691,,,
Kettl Cafe Sarkhej-Sanand Rd.,22.9876163,72.4476696,Survery No. 478,,
Upper crust cafe,23.0410843,72.5269296,,,
MG Science Canteen,23.0347461,72.5514151,,,
Vibes9 V9 Cafe,23.0677778,72.4870557,,,
Camilo Coffee,23.0454565,72.4917071,,,
,23.0431661,72.5760702,,,
,23.0059096,72.569638,,,
site,23.0362244,72.4940097,,,
