Name,Address,Shop Code,Pincode,Latitude,Longitude,Category,Subcategory,Taste,Menu
Results,"Koffee Stories, Bliss Homes, G-1, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009 ",AHM-009-1,380009,23.04792,72.5377226,Cafe,Coffee Shop,Sweet/Dessert,Refer to Physical Menu/Photos
Results,"Coffee Stand, Bhadra Raj Chambers, Swastik Char Rasta, Chimanlal Girdharlal Rd, Shrimali Society, Navrangpura, Ahmedabad, Gujarat 380009 ",AHM-009-2,380009,23.04792,72.5377226,Cafe,Coffee Shop,Creamy/Smooth,Refer to Physical Menu/Photos
Results,"Coffee Stand, Bhadra Raj Chambers, Swastik Char Rasta, Chimanlal Girdharlal Rd, Shrimali Society, Navrangpura, Ahmedabad, Gujarat 380009 ",AHM-009-3,380009,23.04792,72.5377226,Cafe,Coffee Shop,Creamy/Smooth,Refer to Physical Menu/Photos
Results,"Coffee Stand, Bhadra Raj Chambers, Swastik Char Rasta, Chimanlal Girdharlal Rd, Shrimali Society, Navrangpura, Ahmedabad, Gujarat 380009 ",AHM-009-4,380009,23.04792,72.5377226,Cafe,Coffee Shop,Standard,Refer to Physical Menu/Photos
Results,"Ground Floor/2, Campus Corner, Xavier College corner, Navrangpura St, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009 ",AHM-009-5,380009,23.04792,72.5377226,Cafe,Coffee Shop,Balanced,Refer to Physical Menu/Photos
Results,"Shop No 11, Podar International, Siddhraj Z Square , Tower West, School Road, Kudasan, Gandhinagar, Gujarat 382419 ",GAN-419-1,382419,23.175127,72.5575252,Cafe,Coffee Shop,Balanced,Refer to Physical Menu/Photos
Results,"ground floor, shop no 69, Kudasan, Gandhinagar, Gujarat 382419 ",GAN-419-2,382419,23.175127,72.5575252,Cafe,Coffee Shop,Balanced,Refer to Physical Menu/Photos
Results,"5JGH+3P6, Kudasan-Por Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419 ",GAN-419-3,382419,23.175127,72.5575252,Cafe,Coffee Shop,Balanced,Refer to Physical Menu/Photos
Results,"Pramukh Corporate, 21, PDPU Rd, Raysan, Gandhinagar, Gujarat 382426 ",GAN-426-4,382426,23.175127,72.5575252,Cafe,Coffee Shop,"Sweet/Dessert, Spicy/Savory",Refer to Physical Menu/Photos
Results,"Shop no 3 and 4 Ground Floor, Synergy Space, Sarkhej - Gandhinagar Hwy, Sargasan, Gandhinagar, Gujarat 382419 ",GAN-419-5,382419,23.175127,72.5575252,Cafe,Coffee Shop,Spicy/Savory,Refer to Physical Menu/Photos
